stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,34.17,34.17,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,53.5,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,78,101,4,0,0,0,0,0,1,37,0,0,0,0,1
 24-34,0,0,0,4.93,0.82,11.49,0,0,0,1.64,0,0,1.64,0.82,0,0,2.46,0,11.49,5.75,0,0,2.46,370.21,13.13,5.75,0.82,0,0,1.64,0,0,76.34,0,0,0.82,0,1.64
 36-46,0,0,0,3.22,0,78.96,0,0,0,7.25,0,0,0,0,0,1.61,1.61,0,7.25,8.06,0,0,2.42,775.86,5.64,4.83,0,0,0,0,0,0,148.24,0,0,0.81,0,7.25
 48-58,0.57,0,0,4.59,1.72,153.78,0,1.72,1.15,14.35,0,0,0,1.72,0,0.57,1.15,0,5.74,12.62,0.57,0,0.57,745.37,0,4.59,0.57,0,0,2.3,0,0,132.55,0,0,1.15,0,6.31
 60-70,0,0.98,0,2.94,0.98,231.64,1.96,0.98,1.96,30.43,0,0,0,4.91,0,1.96,2.94,0,4.91,22.58,0.98,0,0.98,909.87,0,3.93,0.98,0,0,2.94,0,0,103.06,0,0,0.98,0,2.94
 72-82,0,0.98,0,2.94,0.98,148.23,0,0,0,32.39,0,0,0,6.87,0,1.96,3.93,0.98,3.93,15.71,0,0.98,1.96,519.3,0,2.94,0.98,0,0,4.91,0,0,51.05,0,0,0,0,2.94
 84-94,0,1.06,0,7.43,1.06,94.52,1.06,2.12,0,21.24,4.25,0,0,13.81,0,4.25,5.31,0,7.43,26.55,0,2.12,1.06,323.92,0,4.25,1.06,0,0,0,2.12,0,37.17,0,0,0,2.12,3.19
 96-106,0,1.09,0,7.65,5.46,77.59,0,1.09,0,29.51,2.19,0,1.09,10.93,0,2.19,0,0,6.56,16.39,0,2.19,1.09,242.61,0,3.28,5.46,0,0,6.56,1.09,0,16.39,0,0,2.19,1.09,4.37
108-118,0,0.77,0,7.66,2.3,56.68,0,1.53,0,18.38,1.53,0,0,9.96,1.53,1.53,2.3,0,13.79,14.55,0.77,0.77,0,274.21,0,5.36,1.53,0,0.77,3.06,0,0,5.36,1.53,0,0,0,8.43
120,0,0,0,11.76,7.84,52.91,0,3.92,0,19.6,1.96,0,0,7.84,1.96,0,1.96,1.96,1.96,5.88,0,0,0,254.77,1.96,1.96,0,0,0,9.8,1.96,0,11.76,1.96,1.96,0,0,3.92
