stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,3,2,22,1,0,0,0,1,0,1,180,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0.82,1.64,0.82,22.16,2.46,0,0,0,3.28,0,0.82,96.04,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0.81,0.81,13.7,2.42,0,0,0,4.83,0,0,37.87,0,0,0,0
 48-58,0,0,0,1.15,0,1.15,0,0,0,0.57,1.15,4.02,0.57,0.57,0,0,0,0,0,48.77,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0,4.91,0,0,0,0,0,17.67,0,0,0,0.98
 72-82,0,0.98,0.98,3.93,0,2.94,0,0,0,0,0,9.82,0,1.96,0.98,0,0.98,0,0,34.36,0,0,0,0
 84-94,0,0,1.06,1.06,0,2.12,0,0,0,1.06,0,9.56,0,0,1.06,0,0,0,0,25.49,0,0,0,0
 96-106,0,0,0,6.56,0,5.46,0,1.09,0,2.19,0,4.37,0,3.28,2.19,0,0,0,0,33.88,1.09,0,0,0
108-118,0,0,2.3,0.77,0,1.53,0,0.77,0,3.06,0,4.6,0,2.3,0,0,0,0,0,24.51,0,0.77,0,0
120,0,0,0,1.96,1.96,1.96,5.88,0,0,1.96,0,13.72,0,0,1.96,0,0,0,0,25.48,0,0,1.96,0
