stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,1.64,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0.57,0,0,0.57,14.92,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,1.96,0,0,0,31.41,0,1.96,0,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,20.61,0,1.96,0,0,0,0,0,5.89,0,0,3.93,64.79,0,3.93,0,0,0,0,0,3.93,0,0,0
 84-94,0,2.12,1.06,0,13.81,1.06,2.12,0,1.06,0,0,0,4.25,0,0,1.06,27.61,0,1.06,0,0,0,0,0,2.12,0,0,1.06
 96-106,0,2.19,0,1.09,18.58,1.09,1.09,0,0,0,1.09,0,3.28,1.09,0,0,26.23,0,1.09,0,0,0,1.09,0,1.09,0,0,2.19
108-118,0,0.77,0,0,29.11,1.53,0.77,0,0,0,0.77,0,2.3,0,0.77,2.3,35.23,0,3.83,0,0,0,0.77,0,0,0.77,0.77,0.77
120,0,1.96,0,0,15.68,0,7.84,1.96,0,1.96,0,1.96,5.88,0,0,0,56.83,0,3.92,0,1.96,0,0,0,0,0,0,1.96
