stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,514.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,34.17,0,0,0,15.77,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,333.85,7.89,0,0,210.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,9.44,0,6.29,0,40.91,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,402.81,6.29,0,0,207.7,0,0,0,9.44,3.15,6.29,0,0,0,0,0
 14-21,0,0,2,46,6,0,31,0,0,0,19,0,0,0,0,4,0,0,0,28,0,0,13,672,2,7,4,15,0,45,16,3,22,183,0,0,3,0,0
 24-34,0,0,1.64,18.06,6.57,0,215.06,0,0.82,0,22.98,0,0.82,0.82,2.46,0.82,0,2.46,2.46,60.74,0,1.64,29.55,1009.65,1.64,12.31,4.93,0,0,45.97,0,0,0,203.57,0,0,6.57,0,3.28
 36-46,0,0,0,12.89,4.03,0,528.52,0,1.61,0.81,21.75,0.81,0,0.81,1.61,0.81,0,1.61,1.61,74.12,0,0.81,18.53,804.06,0.81,12.89,3.22,0,0,12.09,0,1.61,0,170.8,0,0,8.86,0,0.81
 48-58,0,0,0,9.18,0,0,628.32,0,0,0.57,34.43,1.15,0,1.15,2.87,2.3,0,2.87,0.57,82.05,0,4.59,18.36,454.45,0.57,3.44,3.44,0,0,11.48,0,0,0,50.49,0,0,6.31,0,1.72
 60-70,0,0,0,20.61,0.98,0,452.48,0,0,1.96,60.85,1.96,0,0.98,3.93,1.96,0,3.93,0,50.06,0,3.93,9.82,298.38,0,1.96,1.96,0,0.98,7.85,0,0.98,0,15.7,0,0,9.82,0,1.96
 72-82,0,0,0,19.63,1.96,0,181.61,0.98,0.98,3.93,64.79,2.94,0,2.94,0.98,8.83,0,2.94,0.98,79.51,0.98,3.93,15.71,259.16,0.98,3.93,6.87,0,0,5.89,0,1.96,0,9.82,1.96,0,16.69,0,0
 84-94,0,0,0,26.55,3.19,0,163.55,0,0,0,43.54,9.56,0,0,5.31,4.25,0,3.19,2.12,58.41,1.06,7.43,12.74,189.04,1.06,9.56,2.12,0,1.06,14.87,0,1.06,0,3.19,2.12,0,12.74,0,0
 96-106,0,0,1.09,38.25,2.19,0,111.47,0,0,0,43.71,10.93,0,0,13.11,3.28,0,3.28,1.09,40.44,0,2.19,7.65,180.32,1.09,6.56,1.09,0,0,15.3,0,3.28,0,2.19,2.19,0,12.02,3.28,0
108-118,0,0,0,29.11,2.3,2.3,122.55,0,0.77,0.77,49.02,14.55,0,0.77,13.79,2.3,2.3,4.6,2.3,29.87,0,3.06,12.26,229.02,0,7.66,8.43,0,0,9.96,0,1.53,0,3.83,6.89,0,9.19,0.77,0
120,0,0,0,9.8,5.88,0,105.83,0,0,1.96,37.24,1.96,0,1.96,15.68,0,3.92,1.96,3.92,23.52,0,0,13.72,148.94,1.96,1.96,1.96,0,1.96,5.88,0,0,0,1.96,0,1.96,15.68,0,0
