stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,0,5.26,0,0,10.51,0,0,0,7.89,0,0,0,0,0,81.49,2.63,0,13.14,0,0,0,0
 10-12,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,94.41,3.15,0,22.03,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,17.79,0,0.57,0,0,1.72,0,0,0,0.57,5.74,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,41.22,0,1.96,0,0,0.98,0,0,0,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,66.75,0,1.96,0,0,0.98,0,0.98,0,0,7.85,0,0,0,0,0,0,3.93
 84-94,0,0,0,0,0,25.49,0,3.19,0,0,11.68,0,1.06,0,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,42.62,0,0,0,0,15.3,0,5.46,0,0,3.28,0,0,0,0,0,1.09,4.37
108-118,0,0,0,0.77,1.53,39.06,0,0.77,0.77,0,16.09,0,1.53,0,0,6.89,0,0,0,0,0.77,0,3.06
120,0,0,0,1.96,1.96,25.48,1.96,1.96,0,0,19.6,1.96,1.96,1.96,0,9.8,0,0,0,0,0,0,5.88
