stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,197.67,1383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,300.35,2831.89,24.52,0,0,0,0,0,0,0,0,0,0,692.65,0,294.22,6.13,0,0,0,0,0,0
  7-9,2.63,70.98,318.07,0,0,0,0,0,44.69,0,0,0,0,368.02,28.92,2473.62,2.63,7.89,0,0,0,0,0
 10-12,0,22.03,22.03,0,0,6.29,0,0,3.15,0,0,0,0,47.2,6.29,635.69,0,0,34.62,18.88,0,22.03,0
 14-21,0,2,0,3,9,1,0,1,0,0,1,0,4,22,0,1,0,0,682,0,5,167,4
 24-34,0,0,0,0.82,0,1.64,0.82,0,0,0.82,0,2.46,0,0.82,0.82,0,0,0,4.93,0,0,55.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0.81,1.61
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,2.3,0,1.15,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0.98,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.19,0,0,0,0,4.25,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,4.37,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0.77,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
