stage,blastomeres,epidermis,eye,fin_mesenchyme,immune,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,4.93,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,2.3,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,1.09,1.09,0,1.09,1.09,0,0,2.19,0,4.37,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,0,1.53,0,1.53,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0
