stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,557.8,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,0,2.63,0,0,13.14,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,157.72,13.14,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,201.41,6.29,0,0,69.23,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,11,3,3,0,0,10,1,0,0,0,1,0,0,0,0,3,0,0,5,138,0,3,3,4,0,0,1,2,10,0,5,57,0,0,0,0,0
 24-34,0,0,0.82,0,6.57,0,29.55,0.82,0.82,6.57,0,0,0,0,0,0,0,0.82,0,14.78,0,0,8.21,305.36,0.82,9.03,4.1,0,0,0,0,0,0,0,0.82,70.59,0,0,1.64,0,0
 36-46,0,0,0,0,4.03,0,73.32,0,0.81,18.53,0,0,0.81,0,0,0,1.61,0,0,29,0,0.81,3.22,480.18,0,8.86,3.22,0,0,0.81,0,0,0.81,0,0,77.34,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,127.96,0,0.57,30.41,0,0,0,0,0,0,1.72,0,0,46.48,0,1.15,5.74,363.79,0,0.57,4.02,0,0,0,0,0,0.57,0.57,0,72.3,0,0,0.57,0,0.57
 60-70,0.98,0,0,0,0.98,0,171.77,0,0,26.5,0,0,0,0,0.98,0,0.98,0,0,55.95,0,1.96,5.89,359.24,0,3.93,0.98,0,0,0,0,0,0.98,0,0,29.45,0,0,3.93,0,0
 72-82,0,0,1.96,0,5.89,0,86.39,0.98,0,20.61,0.98,0,3.93,0,0.98,0,2.94,0,0,47.12,0,1.96,2.94,190.44,0,5.89,6.87,0,0,0,0,0,0,0,0,12.76,0.98,0.98,1.96,1.96,1.96
 84-94,0,0,0,0,6.37,0,65.85,0,0,23.36,0,0,1.06,1.06,0,1.06,2.12,0,2.12,37.17,0,2.12,2.12,101.96,0,4.25,5.31,0,0,2.12,0,0,0,0,0,6.37,1.06,4.25,1.06,0,0
 96-106,0,0,4.37,0,5.46,0,25.14,1.09,2.19,16.39,0,0,0,1.09,0,1.09,3.28,0,0,26.23,1.09,1.09,2.19,75.41,1.09,5.46,7.65,0,1.09,2.19,0,0,1.09,0,0,3.28,0,0,1.09,1.09,1.09
108-118,0,0,0,0,6.13,0.77,34.47,0,0,10.72,0,0,0,0,0,0.77,2.3,0.77,2.3,26.81,0,0.77,1.53,61.28,0,3.06,6.89,0,0,1.53,0,0,0.77,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,1.96,0,23.52,0,1.96,7.84,1.96,0,0,0,0,1.96,0,0,0,27.44,0,0,0,92.11,0,3.92,3.92,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,1.96,0
