stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,2.46,0,5.75,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,8.06,0,0,0.81,0,0,0,0,0,0,0.81,0,8.86,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,2.3,0,0,8.61,0,0,1.15,0,0,0,0,0,0,1.15,0,8.61,0,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,133.49,0,0,1.96,0,0,0,0,0,0,1.96,0,4.91,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0.98,1.96,0,0,452.55,0,2.94,13.74,0,0,0.98,0.98,0,0,3.93,1.96,20.61,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,1.06,347.29,0,0,9.56,0,0,0,0,0,0,3.19,0,7.43,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,8.74,2.19,1.09,457.9,1.09,0,12.02,0,1.09,0,0,0,1.09,8.74,1.09,19.67,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,2.3,0,0,352.34,0,0.77,4.6,0.77,0,0,0,0.77,0,4.6,0.77,12.26,0,0.77,0,0.77,0,0,0,0,0,1.53
120,0,0,5.88,0,0,378.24,1.96,0,5.88,0,0,0,0,1.96,0,3.92,0,29.4,0,0,0,0,1.96,0,0,0,0,0
