stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,4,1,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,1.64,0,4.1,0,0.82,13.95,0,0,2.46,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,1.61,0,0,0,3.22,0,8.86,0,0,7.25,0,0,4.83,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,1.72,0,0.57,0,0.57,0,2.87,0,5.16,0,0.57,5.74,0.57,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0,3.93,0,3.93,0,0,2.94,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,6.87,0,4.91,0.98,0,13.74,0,0,1.96,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,18.05,0,1.06,0,2.12,4.25,0,0,1.06,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,1.09,0,0,0,1.09,1.09,0,0,14.21,2.19,1.09,0,0,4.37,1.09,1.09,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0.77,0.77,0.77,0,0,0,10.72,0,2.3,0,0,5.36,1.53,0,0.77,0,0,0.77,0,0,0.77,0,0
120,0,0,0,1.96,1.96,0,1.96,0,0,0,0,7.84,1.96,0,0,1.96,3.92,1.96,0,0,0,0,0,0,0,0,0,0
