stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,3.15,0,0,0,0,0
 14-21,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0
 24-34,0,13.13,0,1.64,0,0,0,0,0,21.34,1.64,0,3.28,0.82,14.78,0,4.1,0,142.01,0,0.82,0,0,0
 36-46,0,11.28,0,0.81,0.81,0,0,0,0.81,7.25,1.61,0.81,4.03,0,16.11,1.61,2.42,0,276.34,0,4.03,0,0,0
 48-58,0,11.48,0.57,5.74,4.02,0,1.15,0,1.15,3.44,0,4.59,6.89,0,17.21,1.72,1.72,0,409.7,1.15,6.89,0,0.57,0.57
 60-70,0,22.58,0,6.87,2.94,0,1.96,0,0.98,2.94,1.96,0.98,1.96,0.98,14.72,0,3.93,0,360.22,0.98,0.98,0,0.98,0.98
 72-82,0,24.54,0,2.94,1.96,0,2.94,0,0,9.82,1.96,3.93,11.78,0.98,12.76,0,7.85,0,208.11,0,0.98,0,0,0
 84-94,0,41.42,0,2.12,1.06,0,0,0,0,18.05,1.06,4.25,10.62,1.06,3.19,1.06,14.87,0,435.44,0,0,0,0,0
 96-106,0,22.95,0,0,0,0,2.19,1.09,0,9.84,3.28,4.37,6.56,0,5.46,1.09,15.3,0,210.92,0,0,3.28,1.09,1.09
108-118,1.53,19.15,0,0.77,1.53,0,3.06,1.53,0,13.02,2.3,0.77,3.83,0,6.13,0,16.09,0,124.09,0,0,0.77,0,0
120,1.96,15.68,0,0,0,1.96,3.92,1.96,0,29.4,0,1.96,3.92,0,7.84,0,3.92,0,109.75,0,0,1.96,0,0
