stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,0
 14-21,0,0,0,1,0,0,1,0,1,2,0,1,0,0,1,0,1,0,1
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,0,1.15,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,5.89,0,0.98,0.98,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,0,10.62,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,10.93,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0,0.77,0,6.13,0,0.77,0.77,0.77,0.77,0,0,0,3.06
120,0,1.96,0,0,0,0,0,0,0,11.76,0,0,1.96,0,1.96,0,1.96,0,0
