stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,47.32,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,1,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,1.64,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,1.61,0,0.81,1.61,0.81,0,1.61,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,8.83,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,37.3,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,43.54,0,1.06,0,0,0,5.31,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,1.09,0,0,0,1.09,64.48,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0,44.43,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,45.08,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0
