stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,19,5,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,100,1,0,3,0,0,0,9,2,0,13,39,0,0,2,0,0
 24-34,0,0,0,5.75,0,9.03,0,2.46,0,4.1,0,0,0.82,0,0,0,0.82,12.31,0.82,0,9.85,129.7,0.82,0.82,1.64,0,0,4.1,0,0.82,0.82,1.64,32.83,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,16.11,0,0,0.81,0,0,0.81,0.81,0,0.81,0,0,12.89,0.81,0,4.03,174.02,0.81,2.42,1.61,0,0,0.81,0,0,0,0,24.98,0,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,35.58,0,0,1.15,5.16,0,0.57,0.57,0,0,0,0,13.2,0.57,0,2.3,194.52,1.15,1.15,0.57,0,0.57,2.3,0,0,0.57,0,34.43,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,0,45.15,0,0,1.96,3.93,0,0,0,0,0,0.98,0,9.82,0,0.98,2.94,169.8,0,0.98,0.98,0,0,4.91,0,0.98,0,0,17.67,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,53.01,0,0,0.98,12.76,1.96,0.98,0,0,0,0.98,0,16.69,0,0,3.93,157.07,0,2.94,0.98,0,0,1.96,0,0,0,0,15.71,0.98,0.98,3.93,0,0
 84-94,0,0,0,3.19,0,29.74,0,3.19,1.06,4.25,0,0,1.06,0,0,1.06,0,16.99,0,3.19,0,83.9,1.06,2.12,2.12,0,0,11.68,0,0,0,0,8.5,1.06,0,2.12,0,1.06
 96-106,0,0,0,2.19,0,22.95,1.09,0,0,10.93,0,0,1.09,1.09,1.09,1.09,0,18.58,2.19,0,4.37,62.29,1.09,3.28,2.19,0,1.09,6.56,0,0,0,0,3.28,0,0,0,1.09,0
108-118,0,0,0,1.53,0.77,11.49,0,0.77,0,3.06,0.77,0.77,1.53,0.77,2.3,0,0,9.19,0.77,2.3,0,61.28,0,0.77,1.53,0,0,6.89,0,0,0,0,1.53,0,0,1.53,0.77,0
120,0,0,0,5.88,0,19.6,0,0,0,7.84,0,0,0,0,0,0,0,9.8,0,0,0,68.59,0,3.92,5.88,0,0,5.88,0,1.96,0,0,5.88,0,0,0,0,0
