stage,epidermis,eye,glial,heart,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,11.28,0,0,0,0.81,0,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,2.3,0,0,0,30.99,0.57,0,0,0,0,0,0,4.02,0,0,0
 60-70,0,3.93,0,0,0,0,0,0,0,80.48,0,0,0,0,0,0,0,7.85,0,0,0
 72-82,0.98,2.94,0.98,0,0,5.89,0.98,0,0,72.64,0,0,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,3.19,2.12,0,0,1.06,0,1.06,1.06,23.36,0,2.12,0,0,0,0,0,1.06,0,0,0
 96-106,1.09,1.09,4.37,0,0,3.28,2.19,0,1.09,41.53,0,2.19,0,0,0,0,0,1.09,1.09,1.09,0
108-118,1.53,3.06,1.53,0,0,5.36,0.77,0,0,39.06,0,0,0,0,0,0,0,1.53,0.77,0.77,0.77
120,1.96,0,0,0,0,0,0,0,1.96,45.08,0,0,0,0,0,0,0,0,0,0,0
