stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,342.63,6694.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,453.59,5645.39,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,159.37,18.39,0,0,61.3,0,104.2,0,0,0,0,0,0,0,0,0,0
  7-9,89.38,23.66,49.95,0,0,0,81.49,0,0,0,0,0,94.63,0,0,0,0,0,0,0,0,0,0,901.65,63.09,0,0,431.11,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,22.03,0,0,0,31.47,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,3.15,339.87,47.2,0,0,276.93,0,0,12.59,0,28.32,6.29,3.15,0,0,0,0,0
 14-21,0,0,2,17,7,0,20,0,0,0,1,0,0,2,0,0,0,0,0,14,0,0,18,154,4,0,2,5,0,0,1,49,1,34,45,0,0,2,0,0
 24-34,0,0,0.82,11.49,0.82,0,9.03,0,0,0.82,6.57,0.82,0,4.1,6.57,1.64,0.82,0.82,0,43.51,0.82,0.82,12.31,227.38,0.82,0,2.46,0,0,3.28,0,0,0,13.13,60.74,0,0,43.51,0,4.93
 36-46,0,0,0,3.22,0,0,12.09,0,0.81,1.61,19.34,0,0,0,12.89,3.22,0,0,1.61,62.04,0,3.22,16.92,190.14,2.42,0.81,0.81,0,0,1.61,0,0,0,0,53.98,0,0,31.42,0.81,2.42
 48-58,0,0,0,4.02,0,0,11.48,0.57,1.15,2.3,22.95,0,0,3.44,9.75,4.02,0.57,0.57,1.15,75.74,0,2.3,13.2,78.61,0,0,1.72,0,0,0.57,0,0,0,0,29.26,0,0.57,27.54,0,4.02
 60-70,0.98,0,0,2.94,1.96,0,11.78,0,0.98,3.93,37.3,1.96,0,0.98,12.76,7.85,1.96,0,0.98,98.15,0,2.94,10.8,77.54,0.98,0,0,0,0,1.96,0,0,0,0,7.85,0,1.96,28.46,0.98,4.91
 72-82,0,0,0,3.93,1.96,0,21.6,0,0,2.94,37.3,0,0,1.96,25.52,3.93,2.94,0,0,83.44,0,3.93,11.78,65.77,0,0,1.96,0,0,1.96,0,0,0,0,6.87,0,0.98,39.27,2.94,0.98
 84-94,0,0,0,6.37,0,0,16.99,2.12,1.06,2.12,25.49,0,0,1.06,31.86,13.81,1.06,0,0,63.72,0,6.37,8.5,35.05,2.12,0,1.06,0,2.12,2.12,0,0,0,0,10.62,1.06,1.06,30.8,0,5.31
 96-106,0,0,0,2.19,0,0,9.84,0,5.46,4.37,16.39,0,0,2.19,27.32,17.49,0,0,0,57.92,0,2.19,7.65,38.25,0,0,4.37,0,0,1.09,0,0,0,0,1.09,0,0,27.32,4.37,3.28
108-118,0,0,0,3.06,0.77,0.77,7.66,0,1.53,0,19.92,0,0,2.3,36.77,16.09,0,0,0.77,42.13,0,3.83,8.43,41.36,0.77,0,3.83,0,0,0.77,0,0,0,0,1.53,0.77,0.77,28.34,0,4.6
120,0,0,1.96,3.92,0,0,7.84,0,5.88,1.96,7.84,0,0,0,35.28,3.92,0,0,0,23.52,0,1.96,3.92,52.91,3.92,0,3.92,0,0,1.96,0,0,0,0,0,0,0,23.52,0,0
