stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,3.15,6.29,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,13,3,4,0,0,5
 24-34,0,0,0.82,0,0,0,0,0,1.64,0,103.43,0.82,0,0,0,18.88
 36-46,0,0,0,0,0.81,1.61,0,0,0,0.81,169.19,0,0,0,0,33.03
 48-58,0,0,0,6.31,0,5.16,0,0,1.72,0.57,125.66,0,0,0.57,0,40.17
 60-70,0,0,0,5.89,0.98,0.98,0,0.98,4.91,0,54.97,0,0,0,0,27.48
 72-82,0,0,0,0.98,0.98,2.94,0,0,0,0,27.49,0,0,0,0.98,5.89
 84-94,0,0,0,2.12,0,1.06,0,0,1.06,0,21.24,0,0,0,0,4.25
 96-106,0,0,0,2.19,0,3.28,0,0,0,0,8.74,0,0,0,0,2.19
108-118,0,0,0,2.3,0.77,0.77,0.77,0,0,0,10.72,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,11.76,0,0,0,0,0
