stage,blastomeres,endoderm,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,0,0,0
 10-12,3.15,0,0,0,0,0,0,15.73,9.44,0,0
 14-21,0,0,1,0,0,1,0,3,0,1,2
 24-34,0,0,0,0.82,0,0,0,3.28,0,0,1.64
 36-46,0,0,3.22,0,0,0.81,0.81,0.81,0,0,0
 48-58,0,0,4.02,0,1.15,0,0.57,1.72,0,0,0.57
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,3.93,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0
