stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,134.06,36.8,0,0,0,0,0,0,0
 10-12,15.73,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,500.37,31.47,0,0,0,0,0,0,0
 14-21,0,0,1,8,2,1,0,0,0,0,0,0,0,1,0,45,209,0,0,2,28,18,0,0,3
 24-34,0,0,0,1.64,0,4.93,0,0,0,0,0,0,0,3.28,28.73,57.46,284.84,0,3.28,0.82,0.82,16.42,0,0,14.78
 36-46,0,0,0,0.81,0,1.61,0,6.45,0,0,0,0,0,4.03,65.26,36.26,231.23,0,0,0.81,0,38.67,0,0,14.5
 48-58,0,0,0,0.57,0,3.44,0.57,17.21,0,0,0,0,0,1.72,89.51,35.58,119.93,0,0,0,0,33.85,0,0.57,14.35
 60-70,0,0,0,1.96,0,3.93,0,18.65,0,0,0,0,0,0.98,63.8,34.35,41.22,0,0,0,0,8.83,0.98,0,9.82
 72-82,0,0,0,0.98,0.98,9.82,0,24.54,0,0,0.98,0,0,6.87,83.44,28.47,42.21,0,0,0,0,3.93,0,0.98,13.74
 84-94,0,1.06,0,1.06,0,11.68,0,7.43,0,0,0,0,0,2.12,70.09,30.8,29.74,0,0,0,0,3.19,0,0,9.56
 96-106,0,0,0,0,0,6.56,0,9.84,0,0,1.09,0,1.09,3.28,62.29,29.51,22.95,0,1.09,0,0,0,0,0,5.46
108-118,0,0,0,0.77,0,5.36,0,11.49,0,0.77,0,0.77,0,1.53,40.6,28.34,26.81,0,0,0,0,0.77,0,0,14.55
120,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,1.96,43.12,21.56,23.52,0,0,0,0,1.96,0,0,11.76
