stage,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,2.63,0,0,10.51,0,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,1
 24-34,0,0,0.82,0,0,0,0,0,1.64,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,2.3,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,1.96,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,1.96,0,1.96,0.98,6.87,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,13.81,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,12.02,0,0,0
108-118,0,0,0,0,0,0,2.3,0,0.77,0,13.02,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0
