stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,3.15,0,0,0
 14-21,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,7.39,0,1.64,0,0,1.64,0,0,0,4.1,0.82,0.82,0,0.82,0,4.1
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61
 48-58,0,0,0,6.31,0,1.15,0,0,2.3,0,1.15,0,1.72,0,0,0,0.57,0,0.57
 60-70,0,0,0,13.74,0,1.96,1.96,0,2.94,0.98,1.96,0,1.96,0,0,0,0,0.98,0.98
 72-82,0,0,0,101.11,0,1.96,0.98,0,10.8,0,2.94,0,4.91,0,0,0,0,0,3.93
 84-94,0,0,0,54.16,0,2.12,0,1.06,23.36,0,2.12,0,2.12,1.06,0,0,0,1.06,6.37
 96-106,0,0,1.09,52.46,0,1.09,2.19,0,19.67,0,2.19,1.09,0,0,0,0,1.09,1.09,5.46
108-118,0,0,0.77,39.83,0,0.77,0.77,0,20.68,0,0.77,0,4.6,0,0,0,0,0,3.83
120,0,0,0,45.08,1.96,0,0,0,23.52,0,1.96,0,1.96,0,0,0,0,0,7.84
