stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,6,60,9,0,45,0,1,0,15,3,2,0,0,1,0,0,1,0,36,0,0,31,513,19,3,2,15,0,25,44,2,60,42,165,0,0,0,1
 24-34,0.82,23.8,0,0,145.29,0,1.64,0,8.21,0,0,2.46,0,0,0,2.46,0.82,0,74.7,0,1.64,22.16,857.79,2.46,8.21,7.39,0,0,9.03,0,1.64,40.22,4.93,167.45,0,8.21,0,2.46
 36-46,0,9.67,0.81,0,252.98,0,0.81,0,11.28,0.81,0,0,0,0.81,0,0.81,0,0,66.06,0,0.81,15.31,533.35,2.42,1.61,0,0,0,8.86,0,0.81,3.22,0,121.66,0,5.64,0,0
 48-58,0,8.03,2.3,0,337.97,0.57,0.57,1.15,29.84,0,0,0.57,0,0.57,1.15,0,0,0,67.71,0,2.3,10.9,364.37,1.15,0,2.3,0,0,3.44,0,0,1.72,0,68.86,0,2.87,0,0.57
 60-70,0,5.89,0.98,0,240.47,0,0.98,2.94,21.59,0.98,0,0,0.98,0,0,0,0,0.98,59.87,0.98,1.96,9.82,320.96,1.96,0.98,0.98,0,0.98,4.91,0,0.98,0,0,40.24,0,1.96,0,0.98
 72-82,0,10.8,9.82,0,127.62,0,0,0.98,21.6,0.98,0.98,0,0.98,0,0.98,0,0.98,0,38.28,0,2.94,5.89,206.15,0,1.96,1.96,0,0,0,0,0,0,0,13.74,0,0.98,0.98,0
 84-94,0,13.81,5.31,0,89.21,1.06,2.12,0,21.24,5.31,1.06,0,1.06,2.12,0,0,2.12,0,42.48,0,2.12,6.37,111.51,2.12,1.06,3.19,0,0,2.12,0,0,0,0,12.74,0,6.37,0,0
 96-106,0,10.93,13.11,0,67.76,0,2.19,2.19,20.76,1.09,0,1.09,3.28,0,0,0,2.19,0,32.79,0,1.09,9.84,98.36,0,1.09,2.19,0,1.09,0,0,1.09,0,0,2.19,1.09,2.19,1.09,0
108-118,0,6.89,10.72,2.3,55.15,0,0,1.53,14.55,3.83,0,0,3.06,0.77,0.77,0,2.3,0,19.15,0,0.77,3.06,105.7,0,0,0,0,0,1.53,0,0.77,0.77,0,0.77,0.77,4.6,0.77,0
120,0,3.92,7.84,0,80.35,0,0,1.96,23.52,0,0,0,11.76,0,3.92,0,0,0,23.52,0,0,5.88,84.27,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,5.88,0,0
