stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,20,5,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,50.89,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,9.85,33.66,0.82,0,0,0,1.64,0,48.43,0,0.82,0,0,0.82,0,1.64
 36-46,0,0,0,0,0.81,18.53,0,2.42,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,1.61,0.81,8.86,40.28,0,0,0,0,0,0,34.64,0,2.42,0,0,0,0,0
 48-58,0.57,0,0,0,1.15,79.19,0,5.16,0,0,0,0.57,1.15,0,0.57,0,1.15,0.57,0,7.46,0,0,0,14.35,25.82,0.57,0,0,0,1.72,0,29.84,0,2.3,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,51.04,0,4.91,0,0,0,1.96,4.91,0,0,0,5.89,0,0,8.83,0,0,0.98,3.93,20.61,0,0,0,0,0,0,37.3,0,0.98,0,0.98,0,0,0
 72-82,0,0,2.94,0,3.93,249.34,0,15.71,3.93,0.98,0,1.96,17.67,0,0,0,12.76,1.96,0,15.71,0,0,0.98,26.5,12.76,0.98,0,0,1.96,0.98,0,58.9,0,2.94,0,1.96,0.98,1.96,0
 84-94,0,0,0,0,5.31,183.73,0,24.43,0,0,2.12,3.19,18.05,0,0,2.12,21.24,6.37,0,13.81,0,0,1.06,11.68,8.5,0,1.06,0,4.25,1.06,0,111.51,0,1.06,1.06,3.19,0,3.19,2.12
 96-106,0,0,2.19,0,7.65,202.18,1.09,39.34,1.09,3.28,0,9.84,27.32,0,1.09,1.09,19.67,2.19,2.19,32.79,1.09,2.19,4.37,22.95,18.58,0,1.09,0,7.65,7.65,0,116.93,0,2.19,1.09,1.09,2.19,2.19,1.09
108-118,0,0,0,0,5.36,130.98,0,39.06,0,1.53,0.77,4.6,23.74,0,0,0,21.45,13.02,0.77,22.98,0.77,2.3,0.77,27.57,28.34,0,0,0,8.43,5.36,0,121.79,0,0.77,0,0.77,4.6,2.3,1.53
120,1.96,0,0,0,1.96,164.62,0,17.64,0,0,1.96,3.92,31.36,0,0,3.92,11.76,1.96,0,21.56,0,0,0,29.4,37.24,0,0,0,7.84,1.96,0,84.27,0,1.96,0,0,0,0,0
