stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0.82,0,0,8.21,0.82,0,0.82,0,4.93,0,0
 36-46,0.81,0,0,1.61,0,0.81,1.61,0.81,0,0,19.34,0,0,0,0.81,20.14,0,0
 48-58,0.57,0,0,2.87,0,0,0,0,0,0,19.51,0,0,0,0.57,10.33,0,0
 60-70,0,0,0,5.89,0,0.98,0.98,0,0,0,36.32,0,0,0,0,7.85,0,0
 72-82,0,0,0,5.89,0.98,0.98,0,0,0,0,38.28,0,0,0,0,8.83,0.98,0
 84-94,2.12,0,0,2.12,0,2.12,4.25,0,0,0,35.05,0,0,0,0,5.31,0,0
 96-106,1.09,0,0,4.37,1.09,3.28,3.28,4.37,2.19,0,29.51,0,0,0,0,3.28,0,0
108-118,0.77,0.77,0.77,17.62,0.77,1.53,4.6,1.53,0.77,0.77,41.36,0,0,0,0.77,6.13,0,0
120,0,0,0,5.88,1.96,0,7.84,0,3.92,0,37.24,0,1.96,0,0,7.84,0,1.96
