stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,1,8,0,0,0
 24-34,0,1.64,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,4.93,0,3.28,54.18,0,0.82,0,0,0.82,0,0,9.03,0,0.82,0
 36-46,0,1.61,0,0.81,0,5.64,0,0,0,2.42,0,0,0,0,0,0,2.42,0,0.81,87.82,0,0,0,0,0,0,0,16.92,0,0,0
 48-58,0,2.3,0,1.15,0,11.48,0,0,0,5.74,0,0,0,0,0,0,1.72,0,0,141.73,0,0,0,0,0,0,0,29.26,0,0,1.15
 60-70,0,0.98,0,1.96,0,56.93,0,0.98,0.98,8.83,0,0.98,0,0,0,0,5.89,0,0,302.31,0,0,0,0,0,0,0,69.69,0,0.98,0
 72-82,0,2.94,0,2.94,0,153.14,0,0,1.96,21.6,0.98,0,0.98,0,0,0,18.65,0,1.96,417.21,0,0,1.96,0,0.98,0,0,53.01,0.98,1.96,0
 84-94,0,2.12,0,3.19,0,125.32,0,1.06,0,15.93,0,1.06,0,0,0,0,6.37,0,1.06,228.34,1.06,1.06,1.06,0,0,0,0,32.92,0,0,0
 96-106,0,1.09,0,3.28,0,134.42,0,0,4.37,28.41,1.09,1.09,0,1.09,1.09,1.09,19.67,0,0,283.05,0,0,5.46,0,1.09,0,0,27.32,0,0,0
108-118,0,3.06,0,6.13,0,160.85,0.77,0.77,1.53,29.11,0,0,0,0,0,0,13.02,0,2.3,328.6,0,0.77,1.53,0,0.77,0,0,26.04,0.77,0.77,0
120,0,1.96,0,5.88,3.92,164.62,0,3.92,5.88,56.83,0,3.92,1.96,1.96,0,0,37.24,1.96,1.96,482.11,0,1.96,0,0,1.96,0,0,25.48,0,5.88,0
