stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,2,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,1,0,2,2,0,2,6,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,13.13,0.82,0,0.82,0,4.93,0,0,0,9.03,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,2.42,0.81,15.31,0,1.61,0,0,4.83,0,0,0,7.25,0
 48-58,0,0,4.59,0,0.57,0.57,0,0.57,0,0,0,0,0.57,0.57,20.66,0,0,0,0,2.3,0,0,0,5.16,0
 60-70,0.98,0,3.93,0,0,2.94,0,0,0,0,0,0.98,1.96,0,18.65,0,0.98,0,0,3.93,0,0,0,1.96,0
 72-82,0,0,3.93,0,0,0.98,3.93,0,0,0,0,0,2.94,0.98,8.83,0,0.98,0,0.98,5.89,0,0,0,0.98,0.98
 84-94,0,0,2.12,0,0,0,0,1.06,0,0,0,0,3.19,1.06,5.31,0,0,0,0,9.56,0,0,0,0,0
 96-106,3.28,1.09,1.09,1.09,0,2.19,0,0,0,0,0,0,2.19,0,5.46,0,1.09,0,0,8.74,0,0,0,1.09,1.09
108-118,0.77,1.53,1.53,0,0.77,0,2.3,0.77,0.77,0,0,0,0,0,3.06,0,0.77,0,0,7.66,0,0,0,0.77,0
120,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0
