stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,15,3,36,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,11,66,16,1,2,12,0,25,15,1,74,253,19,0,0,2,0,0
 24-34,16.42,0,8.21,0.82,0,5.75,8.21,0,0,0.82,0,0,1.64,0,1.64,0,1.64,0,0,4.1,0,0,16.42,212.6,6.57,7.39,2.46,0,0.82,15.6,0,0.82,35.3,79.62,41.04,0,0,1.64,0,0
 36-46,8.06,0,6.45,0,0,22.56,14.5,0.81,0,2.42,0,0,2.42,0.81,0.81,0,0.81,0.81,0,12.09,0.81,0,26.59,235.26,2.42,3.22,1.61,0,0,9.67,0,2.42,14.5,8.06,42.7,0,0.81,1.61,0,0
 48-58,9.18,0,1.72,0,0,44.18,9.75,0.57,0,11.48,0,0,1.72,0,0.57,0.57,1.72,0,0.57,27.54,0,0,22.38,266.82,1.15,2.87,2.3,0,0,3.44,0,1.15,17.79,0,39.02,0,0.57,1.72,0,1.15
 60-70,3.93,0,2.94,0,0,88.34,28.46,0.98,0.98,4.91,0,0,2.94,0,0,0.98,0,0,0,34.35,0.98,2.94,19.63,267.96,0.98,2.94,4.91,0,2.94,3.93,0,0.98,16.69,0,29.45,0,0,1.96,0,0.98
 72-82,25.52,0,3.93,0,0,102.09,18.65,0.98,1.96,12.76,2.94,0.98,0.98,0.98,0,2.94,1.96,0,0.98,62.83,0,1.96,28.47,368.12,0.98,5.89,3.93,0,0,5.89,0,0.98,4.91,0,18.65,0.98,0,3.93,0,0.98
 84-94,28.68,1.06,4.25,0,1.06,56.29,20.18,0,1.06,10.62,3.19,0,1.06,0,0,0,2.12,1.06,1.06,61.6,0,0,24.43,187.98,1.06,5.31,4.25,0,3.19,16.99,0,1.06,19.12,0,8.5,0,2.12,2.12,0,0
 96-106,26.23,0,10.93,1.09,1.09,61.2,28.41,0,0,4.37,5.46,0,1.09,2.19,3.28,2.19,8.74,0,0,62.29,0,2.19,17.49,150.81,0,5.46,7.65,0,6.56,17.49,0,2.19,16.39,0,13.11,0,3.28,1.09,1.09,0
108-118,19.15,0,15.32,0,0.77,55.15,30.64,0.77,1.53,6.89,2.3,0,0,0.77,0.77,3.06,2.3,0,0.77,46.72,0.77,0.77,22.21,140.94,1.53,0.77,5.36,0,5.36,11.49,0,0.77,13.02,0,6.89,2.3,1.53,0,0.77,0
120,7.84,0,1.96,0,0,29.4,27.44,0,0,3.92,1.96,0,0,0,1.96,1.96,1.96,0,0,39.2,0,0,23.52,135.23,0,1.96,5.88,0,7.84,5.88,0,1.96,1.96,0,1.96,0,5.88,0,0,0
