stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,13.14,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,107.78,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,28.32,3.15,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,27,0,0,0,0,5,1,6,0,1,5,7,0,0,1
 24-34,0,0,0,0.82,2.46,0,5.75,0,0,0.82,1.64,0,0.82,0,0.82,0,0,0,0,1.64,0.82,0,0,127.23,0,0.82,0.82,0,0.82,0,0,0.82,0,1.64,22.16,0,1.64,0.82
 36-46,0,0,0,1.61,0.81,0,27.39,0,0,1.61,8.06,0,0,0,0.81,0,0,0,2.42,3.22,0,0,0,117.63,0,0,0,0,0,0,0,0.81,0,0,26.59,0,1.61,1.61
 48-58,0,0,0,1.15,0.57,0,42.46,0.57,0,0,12.62,0,0.57,0,0,0.57,0,0,3.44,5.74,0.57,0,0.57,101.56,0,0,0,0,0,0,0,0,0,0,14.92,0,1.15,5.16
 60-70,0,0,0,2.94,0,0,29.45,0.98,0.98,0,0.98,0,0,2.94,0.98,0,0,0,0.98,8.83,0,0,0.98,54.97,0.98,0.98,0.98,0,0.98,0,0,0,0,0,3.93,0,0,0.98
 72-82,0,0,0,1.96,2.94,0.98,29.45,0,0,0.98,3.93,0,0,0.98,0,0,0.98,0,0,7.85,0,0,0.98,50.06,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,2.94
 84-94,0,0,0,4.25,1.06,0,11.68,0,0,0,2.12,1.06,0,3.19,0,2.12,0,0,0,1.06,0,1.06,0,16.99,0,0,0,0,4.25,0,0,1.06,0,0,0,1.06,1.06,2.12
 96-106,0,0,0,0,1.09,0,13.11,0,0,0,2.19,1.09,0,2.19,1.09,0,0,0,1.09,2.19,0,1.09,3.28,18.58,0,1.09,1.09,0,3.28,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,1.53,3.83,0,7.66,0,0.77,0,3.06,1.53,0,3.06,0,0,0,0.77,0,2.3,0,0,0.77,13.02,0,0.77,0.77,0,1.53,0,0,0,0,0,1.53,0.77,0.77,1.53
120,0,0,0,1.96,3.92,0,15.68,0,0,1.96,1.96,1.96,0,11.76,0,0,0,0,0,5.88,1.96,1.96,5.88,31.36,0,0,0,0,9.8,0,0,0,0,0,0,0,3.92,0
