stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,neural,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,17.67,0,0,0,5.89,0,0.98,0
 84-94,0,0,0,1.06,0,0,32.92,0,0,0,4.25,0,0,0
 96-106,1.09,3.28,1.09,4.37,0,1.09,85.24,0,0,2.19,21.86,0,0,0
108-118,0,0.77,1.53,1.53,0,1.53,123.32,0.77,0.77,0.77,19.92,0,0,0.77
120,3.92,1.96,0,0,1.96,0,139.14,0,0,0,31.36,1.96,0,0
