stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,19,0,0,0,0,0,0,0,0,7,0,0,0
 24-34,0,0,0,0,4.93,0.82,0.82,0,0,0,0.82,0,0,0,0,0,1.64,0,0,32.01,0,0.82,0.82,0,0,0.82,0.82,0.82,6.57,0,0.82,0
 36-46,0,0,0,0,5.64,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0.81,25.78,0,0,0,0,0,0,0,0,7.25,0,0,0
 48-58,0,0,0.57,0,6.31,0,0,3.44,0,0,0.57,0,0,0,0,0,1.72,0.57,0,14.35,0,0,0,0,0,0,0,0,3.44,0,1.15,0
 60-70,0,0,0.98,0,4.91,0,0,3.93,0.98,0,0,0,0,0,0.98,0,5.89,0,0,10.8,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0
 72-82,0,0,0,0.98,1.96,0,0.98,0.98,0,0,0,1.96,0,0,0,0,11.78,0,0.98,7.85,0.98,0,0,0,0,0,0,0,0.98,3.93,0.98,0.98
 84-94,0,0,2.12,0,1.06,0,0,1.06,1.06,0,0,1.06,0,0,0,1.06,2.12,1.06,1.06,9.56,0,0,0,0,0,0,0,0,0,4.25,0,1.06
 96-106,0,0,2.19,1.09,1.09,0,0,0,0,0,0,2.19,0,0,0,0,1.09,3.28,2.19,2.19,0,0,0,0,0,3.28,0,0,0,3.28,1.09,1.09
108-118,0,0,4.6,0,1.53,2.3,0,0,1.53,0,0.77,3.06,0.77,0.77,0,0,1.53,0.77,0.77,4.6,0,0.77,0,0,0,0.77,0,0,0,0.77,1.53,0.77
120,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,1.96,1.96,1.96,0,9.8,0,0,0,0,1.96,0,0,0,0,0,0,3.92
