stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,47.32,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,28.32,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,8,0,0,0,0,0,170,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,2.46,5.75,0.82,0,16.42,0,1.64,0,1.64,0,0.82,0.82,0,10.67,0,0,0,0,6.57,36.94,0,4.1,126.41,1.64,1.64,0,0,0,1108.98,0,0,0.82,0.82,16.42,0,0,2.46,0,0.82
 36-46,0,0,0,4.03,0,0,17.72,0.81,7.25,0,5.64,0,0,0.81,0,5.64,0,0,0,0,7.25,39.48,0.81,4.83,102.32,1.61,2.42,0.81,0,0,1358.36,0,0,0,0,17.72,0,0,2.42,0,3.22
 48-58,0,0,0,2.87,0.57,0,67.71,1.15,16.07,1.15,10.9,0,0,0.57,0.57,5.16,0,0,1.15,1.15,34.43,36.72,1.15,1.72,180.17,0.57,3.44,0.57,0,0,1224.5,0,0.57,0,0,34.43,0,0,0.57,0,4.02
 60-70,0,0,0,1.96,0,0,39.26,0,12.76,1.96,6.87,0.98,0,0,0.98,6.87,0.98,0.98,0,0,16.69,20.61,0.98,1.96,75.58,0.98,3.93,0.98,0,0,1140.53,0,0,0.98,0,7.85,0,0,0.98,0.98,0.98
 72-82,0,0,0,7.85,9.82,0,54.97,0,22.58,0,9.82,8.83,0,0,0.98,16.69,0,0,0,0.98,33.38,27.49,3.93,3.93,115.84,0,7.85,0.98,0,0.98,1281.07,0.98,0.98,0.98,0,1.96,1.96,0,9.82,0,2.94
 84-94,0,0,0,13.81,4.25,1.06,25.49,0,59.47,2.12,6.37,11.68,0,0,1.06,47.79,0,1.06,1.06,0,24.43,41.42,1.06,4.25,50.98,0,11.68,1.06,0,1.06,3869,0,0,0,0,6.37,0,0,2.12,0,0
 96-106,0,1.09,0,41.53,7.65,2.19,67.76,0,67.76,2.19,25.14,16.39,0,2.19,8.74,62.29,1.09,0,5.46,0,36.06,60.11,2.19,7.65,160.65,0,8.74,3.28,0,0,3940.81,0,2.19,1.09,0,8.74,5.46,2.19,5.46,6.56,4.37
108-118,0,3.06,0,40.6,2.3,0,39.83,2.3,115.66,1.53,16.85,10.72,0,1.53,3.83,88.85,0.77,0.77,4.6,0,29.11,72.77,0.77,3.06,91.15,2.3,9.96,2.3,0,0,4043.52,0,1.53,0,0,3.06,3.06,0,3.06,2.3,0
120,0,0,0,21.56,1.96,1.96,11.76,0,58.79,1.96,13.72,1.96,0,0,0,23.52,0,1.96,1.96,0,9.8,31.36,0,3.92,62.71,1.96,1.96,0,0,0,1963.71,0,0,0,0,3.92,0,0,0,0,0
