stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,15,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,2.46,0,0,105.89,0,2.46,1.64,0,0,49.25,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0,0,232.84,0,1.61,0.81,0,0.81,70.09,0,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,23.53,0,0,7.46,0,0,0,0.57,0,0,0,4.59,0,0,327.07,0,1.72,0.57,0,0,71.15,0,0,0,0
 60-70,0,0,0,0,0,0,53.98,0,0,12.76,0,0,0,0,0,0,0,2.94,0,0.98,501.56,0,3.93,2.94,0,0.98,98.15,0,0,0,0.98
 72-82,0,0,1.96,0,1.96,0,94.24,0,0,15.71,0.98,0,0.98,0.98,0,0,0,8.83,0.98,0.98,572.31,0,0,2.94,0,0,33.38,0,0,0,0.98
 84-94,0,0,1.06,0,6.37,0,56.29,0,0,11.68,0,0,0,0,1.06,0,0,6.37,0,0,264.45,0,1.06,3.19,0,2.12,19.12,1.06,0,0,0
 96-106,0,0,3.28,0,4.37,1.09,50.27,1.09,0,13.11,1.09,0,1.09,1.09,1.09,1.09,0,4.37,1.09,0,252.45,0,3.28,7.65,0,1.09,12.02,0,1.09,0,1.09
108-118,0,0,0.77,0,5.36,0,40.6,0,0.77,14.55,0,0,0.77,0.77,0,0,0,4.6,0,0,217.53,0,2.3,3.06,0,1.53,6.89,0,1.53,0,0.77
120,0,0,0,0,5.88,1.96,27.44,1.96,0,15.68,0,0,0,0,0,0,0,0,0,0,252.81,0,0,0,0,0,3.92,1.96,0,1.96,0
