stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,803.85,4493.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,1581.45,5676.04,12.26,0,0,0,0,0,36.78,0,0,0,0,73.56,104.2,0,0,24.52,18.39,0,0,0,0,0,0,0
  7-9,615.12,89.38,28.92,0,0,1090.92,0,0,147.21,0,0,0,0,2781.18,749.18,0,0,817.53,5.26,10.51,0,2.63,0,0,0,0
 10-12,3.15,12.59,6.29,0,0,213.99,0,0,3.15,0,0,0,0,324.14,333.58,0,0,355.61,0,0,0,9.44,0,6.29,0,0
 14-21,0,1,0,2,3,0,0,1,0,0,0,0,3,9,76,0,0,14,0,0,35,0,1,18,14,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,9.03,1.64,0,0,0,0,0,0,0,0,1.64,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,11.28,0,0,0.81,0,0.81,0,0,0,0,0,1.61,0
 48-58,0,0,0,1.72,0,9.18,0,0.57,0,0.57,1.15,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,9.82,0,0,0,0,1.96,0,0.98,8.83,0,0.98,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,0.98,0,5.89,0,3.93,0,0,0.98,0,0,7.85,0,0,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,3.19,0,1.06,0,0,1.06,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,1.09,0,3.28,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
