stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,44.69,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,91.26,9.44,0,0,34.62,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,1,0,0,0,0,0,3,0,4,32,1,0,0,0,0,1,0,3,0,4,14,1,0,0
 24-34,0,0,0,2.46,0.82,2.46,0,0,0.82,0,0,0,0,0,1.64,0,1.64,32.01,0,0,0,0,0,0.82,0,0,0,0.82,6.57,0,0,0
 36-46,0,0,0,0,0,16.11,0,0,0.81,0,0,0,0.81,0,5.64,0,0,54.79,0,0.81,0,0,0,0,0,0,0,0,13.7,0,0,0.81
 48-58,0,0,0,0,0.57,14.92,0,0,3.44,0,0,0.57,0,0,4.59,0,0,28.69,0,1.15,0,0,0,1.15,0,0,0,0,7.46,0.57,0,0
 60-70,0,0,0,1.96,0,19.63,0,0,5.89,0,0,0,0,0.98,8.83,0,0,27.48,0,0.98,0.98,0,0,0.98,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0.98,2.94,22.58,0,0.98,4.91,0,0,0,0,0,6.87,0,0.98,32.39,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,2.12,13.81,0,1.06,1.06,0,0,0,0,0,4.25,0,1.06,11.68,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,4.37,4.37,12.02,1.09,0,13.11,1.09,0,0,0,0,3.28,1.09,1.09,21.86,0,5.46,1.09,0,1.09,0,0,0,0,0,2.19,1.09,1.09,0
108-118,0,0,0,3.83,1.53,11.49,0,0,5.36,0,0.77,0,0,0,7.66,0,2.3,18.38,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,5.88,5.88,0,0,7.84,0,0,0,0,0,7.84,0,1.96,17.64,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
