stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,2.46,0,0,0.82,0,0,0.82,0,0,0,0,0,1.64,34.48,9.03,0,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,0,8.86,0,0,2.42,0,0,0.81,0,0,0,0,0,0,40.28,7.25,0.81,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0,38.44,0,0,1.72,0,0,0.57,0,0.57,0,0,0.57,0,36.72,6.31,1.15,0,0,9.75,0,0,0,0.57
 60-70,0,0,0.98,0,0,228.69,0,0,0.98,0,0,0,0,2.94,0.98,0,0,0,37.3,0.98,0,0,0.98,1.96,0,0,0,0
 72-82,0,0,0,0.98,0,283.7,0,0.98,3.93,0,0,3.93,0,0.98,3.93,0,0.98,0,41.23,10.8,0.98,0,0,3.93,2.94,0,0,0
 84-94,0,0,0,4.25,0,258.08,1.06,0,2.12,0,0,3.19,0,0,5.31,0,1.06,0,23.36,5.31,2.12,7.43,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,1.09,166.11,0,0,1.09,1.09,0,2.19,1.09,1.09,3.28,1.09,0,0,18.58,5.46,0,8.74,0,0,2.19,2.19,0,0
108-118,0,0,0,0.77,0.77,143.24,0,0.77,1.53,0,0.77,0.77,0,0,5.36,0.77,0.77,0.77,19.15,3.83,3.83,19.92,0,0.77,0.77,0,0,0
120,0,0,0,1.96,0,84.27,0,3.92,0,0,0,3.92,0,0,7.84,0,0,1.96,23.52,3.92,1.96,15.68,0,0,0,0,0,0
