stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,623.1,0,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,176,1,2,0,0,0,0,4,0,0,1,0,21,1,0,0,0,0,6,0,1,0
 24-34,0,0,0,12.31,0.82,0,0,0,0,0,24.63,2.46,0.82,13.95,2.46,22.98,4.93,0.82,0,0,0.82,2.46,0,0.82,0
 36-46,0,0,0,4.03,0,0.81,0,0,0,0,20.14,0.81,0,9.67,1.61,8.06,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,1.72,0,1.15,0.57,0.57,0.57,0,36.72,0,0,4.02,4.02,7.46,0,1.72,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,32.39,0.98,0,5.89,5.89,1.96,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,4.91,0.98,0.98,0,0,0.98,0,46.14,2.94,1.96,3.93,7.85,2.94,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,1.06,2.12,0,2.12,1.06,0,2.12,1.06,71.16,1.06,3.19,4.25,2.12,1.06,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,73.22,3.28,0,6.56,4.37,5.46,2.19,0,0,0,0,0,0,2.19,0
108-118,0,0,0.77,6.13,1.53,1.53,0.77,0.77,1.53,0,63.57,0.77,0.77,3.06,1.53,3.83,0,0.77,0,0,0,0.77,0.77,1.53,0
120,0,0,0,0,1.96,0,0,0,0,0,74.47,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0
