stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,10,5,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,39,0,0,0,0,0,0,0,2,0,0,4,20,0,0,0,0
 24-34,0,0,0.82,2.46,0.82,3.28,0,0,4.1,1.64,0,0,0,0,0.82,0,0,22.98,0,0,8.21,73.88,0.82,2.46,2.46,0,0,2.46,0,0,1.64,0.82,1.64,21.34,0,4.93,0,0
 36-46,0,0,0.81,4.83,0,8.86,0,0.81,3.22,0,0,0,0.81,0,0.81,0.81,0.81,24.98,0,0,10.47,64.45,0.81,0.81,0.81,0,0,2.42,0,0,0,0,0,24.17,0,6.45,0,0
 48-58,0,0,0,3.44,0.57,10.33,0,0.57,9.75,0,0.57,1.15,0,0,0.57,0,0,22.95,0,0,4.02,30.99,0,0,0,0,0,1.15,0,0,0,0,0,9.75,0,0.57,0,0.57
 60-70,0,0,0,6.87,0,7.85,2.94,0,12.76,0,1.96,0.98,0,0.98,0,0.98,0,29.45,0,1.96,2.94,22.58,0,0.98,0.98,0,1.96,3.93,0,0,0,0,0,4.91,0,5.89,0,0.98
 72-82,0,0,0,0.98,0,11.78,0,0,11.78,0.98,0,0.98,0,0,2.94,1.96,0,34.36,0.98,0.98,4.91,23.56,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,7.85,0,0
 84-94,0,0,0,3.19,0,4.25,0,0,8.5,0,0,2.12,0,0,0,0,0,15.93,0,1.06,1.06,9.56,0,0,0,0,0,4.25,0,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,0,1.09,4.37,0,0,4.37,1.09,0,3.28,1.09,0,1.09,1.09,0,18.58,0,0,0,9.84,0,0,0,0,1.09,4.37,0,0,0,0,0,2.19,1.09,4.37,0,0
108-118,0,0.77,0,4.6,0,2.3,2.3,0,3.06,0,0.77,0.77,0.77,0.77,0.77,0,0,9.96,0,0,2.3,18.38,0,0,0.77,0,0,2.3,0,0,0,0,0,1.53,0,0.77,0,0.77
120,0,0,0,19.6,1.96,3.92,1.96,1.96,0,1.96,0,3.92,1.96,0,0,0,0,11.76,0,0,1.96,13.72,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,1.96,1.96,0
