stage,epidermis,eye,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,7.39,0,0,0
 36-46,0,1.61,0,0,0.81,0,0,0,0.81,0.81,4.83,0,0.81,0
 48-58,0,0.57,0,0,0,0,0.57,0,0,0.57,3.44,0,0,0.57
 60-70,0,0.98,0.98,0.98,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,0.98,9.82,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,30.8,0,0,0
 96-106,2.19,2.19,0,1.09,0,0,0,0,0,2.19,31.69,0,0,0
108-118,1.53,0.77,0,2.3,0,0.77,0,1.53,0,0,13.79,0,0,0
120,3.92,0,0,1.96,0,0,0,0,0,0,25.48,0,0,0
