stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,870.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,31.54,0,0,52.57,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,362.76,10.51,0,0,149.84,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,3.15,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,295.82,15.73,0,0,113.29,0,3.15,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,22,3,4,0,0,0,0,0,0,2,0,1,0,0,0,14,0,0,8,94,2,0,0,3,2,0,8,1,1,9,29,0,0,1,0
 24-34,0,0,0,0.82,4.1,0,11.49,0,0.82,0,4.93,0,0,0,0,0.82,0,0.82,0,9.03,0,0,1.64,134.62,0,1.64,0.82,0,4.93,0,0,0,0,0.82,27.09,0,0,2.46,0
 36-46,0,0,0,0,1.61,0,28.2,0,0,0,2.42,0.81,0,0,0,0,0,0,0,16.11,0,0.81,2.42,121.66,0,0,0,0,7.25,0,0,0.81,0,0,33.03,0,0,3.22,0
 48-58,0,0,0,0,1.15,0,48.2,0,0,0,8.61,0.57,0,0.57,0,0,0,0,0,26.4,0,0.57,3.44,105.01,0,2.87,0,0,2.3,0,0.57,0,0,0,25.82,0,0,0,2.3
 60-70,0,0,0,0,0,0,34.35,0,0,0,15.7,0,0,0,0,0,0,0,0,15.7,0,0,1.96,87.36,0,0.98,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0.98
 72-82,0,0,0.98,0,2.94,0,31.41,0,0,0,9.82,0.98,0,0.98,0.98,0.98,0,2.94,0.98,19.63,0,0.98,1.96,64.79,0.98,0.98,0.98,0,1.96,0,0,0,0,0,6.87,0,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,30.8,0,2.12,2.12,9.56,0,0,1.06,1.06,1.06,1.06,0,0,14.87,0,1.06,2.12,45.67,0,0,0,0,10.62,0,0,0,0,0,5.31,0,0,0,0
 96-106,0,0,1.09,0,3.28,1.09,10.93,0,0,0,9.84,1.09,0,1.09,2.19,1.09,0,1.09,0,3.28,0,0,2.19,24.04,0,0,0,0,5.46,0,0,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,4.6,0.77,11.49,0,1.53,0,3.06,0.77,0,0,0.77,0,1.53,2.3,0,12.26,0.77,0,2.3,33.7,0.77,0.77,0.77,0,2.3,0,0,0,0,0,0.77,0.77,0,0.77,0
120,0,0,0,0,11.76,3.92,17.64,3.92,0,0,3.92,1.96,0,0,0,0,0,0,0,5.88,0,1.96,1.96,23.52,0,0,0,0,7.84,0,0,0,0,0,0,0,0,1.96,0
