stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,1,3,1,7,0
 24-34,0,0,0,1.64,0,7.39,0,0.82,1.64,0,0,0,0,8.21,0,3.28,69.77,0.82,0,0,0,1.64,0,0,18.06,0
 36-46,0,0,0,0,1.61,12.89,0,0,0.81,0,0.81,0,0,2.42,0,1.61,66.87,0,0,0,0,0,0,0,24.17,0
 48-58,0,0,0,0.57,0,18.36,0,0,4.59,0,0.57,0,0,3.44,1.15,0.57,41.31,0,0,0,0,0.57,0,0,13.77,0
 60-70,0,0,0,0.98,0,24.54,0.98,0,0,0,0,0,0.98,3.93,0,0,51.04,0.98,0,0,0,0,0,0,10.8,0.98
 72-82,0,0,0,0,0.98,13.74,0,0,4.91,0,0,0.98,0,5.89,0,0.98,50.06,0,0,0.98,0,0,0,0,10.8,1.96
 84-94,0,0,0,1.06,0,7.43,0,0,1.06,1.06,0,0,0,8.5,0,0,26.55,0,0,0,0,1.06,0,0,6.37,0
 96-106,0,0,0,0,0,7.65,0,0,1.09,0,0,0,0,3.28,0,0,19.67,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,9.19,0,0,4.6,0,0,0,0,0.77,0,0.77,23.74,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,41.16,0,0,0,0,0,0,0,0,0
