stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,23.8,0,0,0,0,0,0.82,0,3.28,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,45.12,0,0,0,0,0,0,0,5.64,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0.57,0,3.44,0.57,0,87.22,0,0,0,0,0,1.15,0,10.9,0,0,0,0,0,2.3,0.57,0,0.57
 60-70,0,0,0.98,0.98,3.93,1.96,0.98,102.08,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.91,0.98,0,126.63,0,0.98,0,0.98,0.98,2.94,0,4.91,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,0,3.19,0,0,154,0,0,1.06,0,0,0,1.06,6.37,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,5.46,4.37,6.56,3.28,1.09,187.97,1.09,0,2.19,4.37,0,5.46,2.19,21.86,1.09,2.19,0,4.37,0,0,3.28,1.09,2.19
108-118,0,0,2.3,0.77,3.06,0,0,120.26,1.53,2.3,0,0.77,0,3.06,0,7.66,0,0,0,1.53,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,154.82,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0
