stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,1,40,2,1,0,1,0,5,4,1,0,2,12,0,0,1,0,0
 24-34,0,0,0,0,1.64,0,0,6.57,0,0,0.82,1.64,0,0,0,0.82,0,0,0,0,12.31,0.82,0,7.39,70.59,0,0,1.64,0,0,13.95,0,1.64,0,1.64,22.16,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,12.89,4.83,0.81,0,6.45,0,0,0,0,0,0.81,0,0,7.25,0,0,4.83,106.35,0.81,2.42,1.61,0,0,5.64,0,1.61,0,0,26.59,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,26.97,5.74,0.57,1.15,5.16,0.57,0.57,0,0,0,0,0,0,13.2,0,0.57,2.3,80.33,0,1.72,0.57,0,0,4.02,0,0,1.15,0,21.8,0,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0,0,59.87,2.94,0,0,11.78,1.96,0.98,0,0,1.96,0,0,0.98,15.7,0,0,6.87,90.3,0,0.98,0,0,0,2.94,0,0.98,2.94,0,14.72,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,46.14,3.93,0.98,1.96,24.54,7.85,0.98,0.98,0,1.96,0.98,1.96,0,30.43,2.94,0,2.94,82.46,0.98,0.98,1.96,0,0.98,3.93,0,0,0.98,0,9.82,0.98,0,0.98,0,0.98
 84-94,0,0,0,0,7.43,0,0,30.8,0,2.12,0,15.93,7.43,0,1.06,0,2.12,0,4.25,0,11.68,0,0,1.06,47.79,2.12,0,1.06,0,0,14.87,0,2.12,1.06,0,3.19,0,1.06,0,2.12,1.06
 96-106,0,0,1.09,0,7.65,2.19,0,30.6,0,1.09,1.09,16.39,6.56,0,5.46,0,1.09,0,9.84,0,13.11,0,0,1.09,62.29,0,1.09,1.09,0,0,7.65,0,2.19,0,0,3.28,0,1.09,0,0,0
108-118,0,0,0,0,6.13,0,1.53,26.04,0,0,0,16.85,6.13,0,1.53,0.77,1.53,1.53,67.4,0,6.89,0,0.77,1.53,74.3,0,0.77,0,0,0,9.19,0,0.77,0.77,0,0,1.53,0,1.53,1.53,0.77
120,0,0,0,0,5.88,0,0,21.56,3.92,0,0,13.72,5.88,0,0,0,3.92,0,0,0,7.84,0,0,1.96,68.59,0,0,1.96,0,0,7.84,0,1.96,0,0,1.96,0,0,0,0,0
