stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,gut,hatching_gland,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,13.14,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,3.15,0,12.59,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0
108-118,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,1.96,0,0,0,1.96,3.92,0,0,0,1.96,0,1.96
