stage,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,mesenchyme,mural.cell,neural,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
 14-21,1,1,0,0,0,0,1,0,1,1,3,2,0
 24-34,4.93,0,0,0,0,0,1.64,0,3.28,0,0,4.1,0
 36-46,4.03,0,0,0,0,0,0,0,1.61,0,0,1.61,0
 48-58,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,3.93,0,0,0,0.98
 84-94,3.19,0,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,3.28,0,0,0,1.09,0,0,0,1.09,0,0,0,0
108-118,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
