stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0.82,3.28,0.82,0,1.64,0,0,0.82,0,0,0,0.82,1.64,0,0,0.82,0,4.93,0,0,1.64,14.78,0,0,0.82,0,2.46,0,0.82,0,6.57,0,1.64,0
 36-46,0,0,2.42,0,0,3.22,0,0,0.81,2.42,0,0,1.61,0,0,0.81,0.81,0,2.42,0,0,1.61,15.31,0.81,0,0,0,2.42,0,0,0,4.83,0,1.61,0
 48-58,0,0,0,0,0,1.72,0,0,0,1.72,0,0,1.15,0,0,0,0,0,6.89,0.57,1.15,0.57,3.44,0,0,0.57,0,1.15,0.57,0,0,2.87,0,1.15,0
 60-70,0,0,4.91,0,0,8.83,0,0.98,0,3.93,1.96,0.98,2.94,0,0.98,0,0,0.98,8.83,0,0,0,4.91,0.98,0,0,0,0,0,0,0,1.96,0,1.96,0
 72-82,0,0,0,2.94,0,6.87,0.98,0,0.98,5.89,2.94,0,4.91,0,0.98,0.98,0,0.98,6.87,0.98,0,0,4.91,0,0,1.96,0,0.98,0,0,0,0.98,0,2.94,0
 84-94,0,0,3.19,0,0,7.43,0,1.06,0,5.31,4.25,0,12.74,0,0,2.12,0,1.06,3.19,0,1.06,0,5.31,1.06,0,1.06,0,5.31,0,0,0,2.12,0,0,0
 96-106,0,0,10.93,2.19,0,6.56,0,0,0,4.37,3.28,0,20.76,1.09,0,0,1.09,0,7.65,0,1.09,0,6.56,1.09,4.37,1.09,0,3.28,1.09,0,0,1.09,0,0,0
108-118,0,0,6.13,2.3,0.77,7.66,0,0.77,0,1.53,3.06,0,13.79,0.77,1.53,0,0,0,4.6,0,0,0,5.36,1.53,0.77,0,0,3.06,0,0,0,0.77,0,2.3,0
120,0,0,1.96,3.92,0,15.68,0,0,0,5.88,1.96,1.96,29.4,0,0,0,0,0,1.96,0,0,0,3.92,1.96,0,0,0,3.92,1.96,0,0,0,1.96,0,1.96
