stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,24,0,0,1,0,1,0,0,2,20,0,0,1,0,0
 24-34,0,0,0.82,1.64,0,0,3.28,0,0,0,2.46,0,0.82,0,0,0,0,0,0,1.64,0,0,1.64,107.53,0,9.85,0,0,1.64,0.82,0,0.82,36.94,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,1.61,0,0,3.22,0,0,0.81,0,0,0,0,0,1.61,0,0,4.03,248.15,0,12.09,0,0,1.61,0,0.81,0,58.81,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,34.43,0.57,0,1.15,8.61,0,0,0,0,0,0,0,0,18.36,0.57,1.15,1.15,329.94,0.57,9.18,1.15,0,0,0,0,0,53.36,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,117.78,0,0.98,0.98,18.65,0.98,0,0.98,0,0,0,0,0,41.22,0,0.98,1.96,584.01,0,7.85,0,0,1.96,0,0,0,54.97,0,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,0,178.66,1.96,0.98,1.96,39.27,1.96,0,0,0,0.98,0,0,0,53.99,0.98,0,7.85,567.4,0,20.61,1.96,0,1.96,0,0.98,0,44.17,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,5.31,1.06,1.06,114.7,0,0,1.06,26.55,0,0,0,1.06,1.06,0,0,1.06,33.99,0,1.06,1.06,275.07,1.06,11.68,2.12,0,4.25,0,0,0,28.68,1.06,0,3.19,4.25,0
 96-106,0,0,0,2.19,0,0,91.8,0,0,0,15.3,2.19,0,0,1.09,0,3.28,0,0,22.95,0,0,2.19,210.92,0,12.02,1.09,1.09,5.46,0,0,0,15.3,0,0,1.09,2.19,0
108-118,0,1.53,0,3.83,0,0.77,77.36,0,0,1.53,18.38,0.77,0.77,0.77,0,0,0,0.77,0,15.32,0,1.53,0,258.13,0,7.66,3.06,0,3.06,1.53,0,0,6.13,0,2.3,0.77,3.83,0
120,0,0,0,5.88,3.92,0,82.31,1.96,1.96,0,21.56,1.96,0,3.92,0,0,0,0,0,13.72,0,3.92,0,319.45,0,17.64,0,0,1.96,0,0,0,5.88,0,3.92,3.92,0,0
