stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,10.51,0,5.26,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0
