stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,171.63,3150.63,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,116.46,30.65,0,0,55.17,61.3,0,0,0,0,0,0,0,0
  7-9,44.69,44.69,0,60.46,0,0,105.15,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,1285.44,39.43,0,0,462.65,5.26,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,40.91,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.46,15.73,0,0,251.76,0,0,31.47,0,0,0,0,0,0
 14-21,0,0,1,2,36,9,21,0,0,16,5,0,0,0,1,0,0,1,0,33,0,23,359,4,1,6,8,4,43,2,24,114,0,0,2,1
 24-34,0,0,0,3.28,4.1,0,46.79,0,0,5.75,1.64,0,0.82,0,0,0,0.82,0,0,33.66,0,16.42,419.46,1.64,3.28,4.1,0,4.93,0,0,9.85,82.91,0,0,6.57,0
 36-46,0,0,0,0,1.61,0.81,69.29,0,0.81,12.89,0.81,0,0,0.81,0,0,0.81,0.81,0,38.67,0.81,12.89,295.68,0.81,0,3.22,0,2.42,0,0,0,69.29,0,0,4.83,1.61
 48-58,0,0,0,0.57,1.72,0,82.63,0.57,0,15.49,0.57,0,1.15,0,0.57,0,1.15,0,0.57,39.59,1.72,6.89,135.42,0.57,0,0.57,0,1.72,0,0,0,25.82,0,0.57,1.15,0.57
 60-70,0,0,0,0,2.94,0,37.3,0,0,23.56,0,0,0,0,0,0.98,0,0,0,18.65,1.96,3.93,64.78,0,0,0.98,0,2.94,0,0,0,12.76,0,0,2.94,0
 72-82,0,0,0.98,0,3.93,0,25.52,0,1.96,18.65,0,0,0,0,0,0,0.98,0,0,48.1,1.96,6.87,73.62,0,2.94,2.94,0,0,0,0,0,2.94,0,1.96,3.93,0.98
 84-94,0,0,0,0,6.37,0,24.43,0,1.06,9.56,4.25,0,0,2.12,0,0,0,0,1.06,33.99,1.06,4.25,41.42,0,1.06,0,0,6.37,0,0,0,1.06,1.06,0,5.31,0
 96-106,0,0,0,0,5.46,0,17.49,0,2.19,8.74,2.19,0,0,5.46,1.09,1.09,0,0,0,25.14,2.19,3.28,45.9,1.09,2.19,2.19,0,1.09,0,1.09,0,1.09,1.09,0,3.28,0
108-118,0,0,0,0,6.13,0,18.38,0.77,0.77,6.13,0.77,0,0,1.53,1.53,0.77,0.77,0.77,0,20.68,0,7.66,52.85,0,0.77,0,0,0,0,0.77,0,1.53,0.77,0,2.3,0
120,0,0,0,0,3.92,1.96,23.52,0,3.92,13.72,1.96,0,0,0,1.96,1.96,1.96,0,0,21.56,0,5.88,41.16,1.96,0,0,0,3.92,0,0,0,0,0,0,1.96,0
