stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,0,54,0,1,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,10,9,0,0,2,0,3,1,414,83,5,0,69,0,0
 24-34,0,0,0,0.82,9.85,0,1.64,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,3.28,0,0,3.28,13.13,0,0,2.46,0,0.82,0.82,156.78,4.1,1.64,0,187.16,0,0
 36-46,0,0,0,0.81,1.61,0,4.83,0,0,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0.81,0,6.45,15.31,0,0,0.81,0,0.81,0,43.51,0,1.61,0,124.88,0,0.81
 48-58,0,0,0,0,0,0,13.2,4.02,0,0,0.57,0,0,1.15,0.57,0,0,0,0,0,8.61,0,0.57,4.02,16.07,0,0,0,0,0,0,18.94,0,0.57,0.57,125.09,0,0
 60-70,0.98,0,0,0.98,2.94,0,204.16,11.78,0,0,0,0,0,0,0.98,0,0,0,0,0,9.82,0,0,4.91,12.76,0,0,0.98,0,0,0,5.89,0,0,0.98,105.02,0.98,0.98
 72-82,0,0,0,4.91,3.93,0,772.57,3.93,0,2.94,3.93,0,0,2.94,5.89,0,0,0,0,0,26.5,0,2.94,3.93,40.25,0,0,4.91,0.98,0,0,2.94,0,3.93,5.89,215.97,1.96,0
 84-94,0,0,0,6.37,1.06,1.06,766.79,6.37,0,0,6.37,1.06,0,0,6.37,0,2.12,0,0,0,27.61,0,3.19,5.31,11.68,0,0,3.19,0,0,0,0,0,1.06,2.12,201.79,0,0
 96-106,0,2.19,0,17.49,5.46,1.09,651.34,6.56,0,0,6.56,1.09,0,4.37,6.56,1.09,1.09,0,3.28,0,20.76,1.09,5.46,5.46,30.6,1.09,1.09,4.37,0,0,0,3.28,0,0,1.09,215.29,1.09,1.09
108-118,0,0,0,3.06,3.06,0,456.51,7.66,0.77,0,4.6,0.77,0,0,5.36,0.77,0,0,3.83,0.77,16.85,0,1.53,6.13,36,0,0,2.3,0,0,1.53,4.6,0,0,0,154.72,1.53,0
120,0,0,0,9.8,0,0,358.64,1.96,0,0,1.96,1.96,1.96,3.92,7.84,0,0,1.96,0,0,27.44,0,1.96,5.88,27.44,0,0,3.92,0,1.96,0,7.84,0,0,1.96,180.3,3.92,0
