stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,2.46,0,1.64,30.37,0,0.82,0,0,0.82,0,0.82,2.46,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0.81,0,0.81,0,0,0,0,0,3.22,0,3.22,28.2,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0.57,9.75,0,0,1.72,0,0,0,0,0,5.16,0,0.57,33.85,0,0.57,0,0,0,0,0,0,6.89,0,0,0,0,1.72
 60-70,0,0,0,0,14.72,0,0,7.85,0,0,0,0,0,3.93,0,0,51.04,1.96,0.98,0,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,2.94,1.96,15.71,0,0,7.85,0,0,0,0,0.98,7.85,0.98,1.96,49.08,0,0.98,0.98,0,1.96,0,0,0,9.82,0.98,0.98,0.98,1.96,0
 84-94,0,0,1.06,4.25,10.62,0,0,8.5,0,0,1.06,0,0,4.25,0,1.06,35.05,0,2.12,0,0,2.12,0,0,0,4.25,0,0,0,2.12,0
 96-106,0,0,0,3.28,14.21,0,0,3.28,0,0,0,0,0,10.93,0,1.09,21.86,0,1.09,1.09,0,5.46,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0.77,11.49,0,0.77,4.6,0,0.77,0,1.53,0,5.36,0,0.77,33.7,0,0.77,0,0,0,0,0,0,3.83,0,0,1.53,0,0
120,0,0,5.88,5.88,21.56,0,0,7.84,0,0,0,0,0,5.88,0,0,43.12,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0
