stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,23.66,0,0,0,28.92,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,312.82,23.66,0,0,105.15,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,12.59,0,0,72.38,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,13,5,0,4,0,0,17,1,0,0,0,0,0,0,0,0,10,0,0,10,161,5,1,3,4,0,0,0,13,8,2,7,84,0,0,4,0,0
 24-34,0,0,0,0,9.03,1.64,0,17.24,0,0,11.49,0,0,2.46,0.82,0,0.82,0,0,0.82,22.16,0,0,12.31,219.99,0.82,4.93,1.64,0,0,5.75,0,0,0.82,0,3.28,90.29,0,0,11.49,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,34.64,0.81,3.22,20.95,0,0,1.61,0,0,0,0,0,0,39.48,0,0,12.09,153.88,0.81,1.61,0.81,0,0,0.81,0,0,0.81,0,0,90.23,0,0,6.45,0,0.81
 48-58,0,0,0,0,2.87,0,0,34.43,1.72,0.57,26.97,0,0.57,1.15,0.57,0.57,0,0.57,0,1.72,61.4,0.57,1.15,8.61,64.84,0,1.15,1.15,0,0.57,1.72,0,0,0,0,0,40.74,0,0,3.44,0.57,0
 60-70,0,0,0,0,3.93,0.98,0,21.59,0.98,0.98,29.45,0.98,0.98,0,0,1.96,0,0.98,0.98,0.98,98.15,0.98,0.98,6.87,23.56,0,4.91,0.98,0,0,0.98,0,0,0,0.98,0,21.59,0,0.98,3.93,0,0
 72-82,0,0,0.98,0,2.94,7.85,0,12.76,0,3.93,44.17,0.98,0,1.96,2.94,0,1.96,1.96,0,0,108.96,0,0.98,7.85,27.49,0,4.91,0,0,0,1.96,0,0,0,0,0,2.94,0,1.96,5.89,0.98,1.96
 84-94,0,0,1.06,0,10.62,6.37,0,22.3,1.06,5.31,24.43,3.19,2.12,2.12,7.43,1.06,2.12,1.06,0,0,67.97,1.06,4.25,4.25,21.24,0,1.06,2.12,0,1.06,11.68,0,0,0,0,0,3.19,0,3.19,6.37,2.12,0
 96-106,0,0,0,0,6.56,8.74,0,20.76,1.09,0,25.14,2.19,0,0,6.56,3.28,4.37,0,0,0,81.96,2.19,2.19,0,24.04,0,2.19,6.56,0,2.19,6.56,1.09,0,0,0,0,4.37,2.19,2.19,7.65,5.46,1.09
108-118,0,0,0,0,8.43,3.83,1.53,10.72,0.77,3.83,21.45,1.53,0,0,4.6,2.3,0,0.77,0,0,56.68,0.77,1.53,6.13,29.87,0.77,3.83,3.06,0,0.77,8.43,0,0,0,0,0,3.83,0.77,1.53,3.06,2.3,0.77
120,0,0,0,0,5.88,0,1.96,7.84,0,1.96,7.84,3.92,0,3.92,5.88,0,0,5.88,0,0,33.32,1.96,1.96,5.88,13.72,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,1.96,1.96,5.88,1.96,0
