stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,2,0,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,5.75,0,0.82,0,0,0,0,0,0,1.64,0,0,4.93,0,3.28,17.24,0,0,0,0,0.82,0,4.1,7.39,1.64,0,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,39.48,0,0,0,0,0,0,0,0,0,0,0,3.22,0,2.42,22.56,0,1.61,0.81,0,0,0.81,15.31,1.61,6.45,0,0,0,0,0
 48-58,0,0,0.57,0,0,10.33,89.51,0,3.44,0,0.57,0,0,0,0,0.57,0,0,8.03,0,6.89,39.02,0,2.3,1.15,0,0,0,25.25,0,7.46,0,0,1.72,0,1.15
 60-70,0,0,0,0,0,11.78,63.8,0,1.96,0,0,0,0,0,0,0,0,0,6.87,0,3.93,16.69,0,0,2.94,0,0.98,0.98,13.74,0,2.94,0,0,1.96,0.98,0
 72-82,0,0,0.98,0,0,10.8,35.34,0.98,2.94,0,0.98,0,0,0,0,5.89,0.98,1.96,6.87,0,4.91,14.72,0,0,0.98,0.98,1.96,0,9.82,0,4.91,0,0,1.96,0.98,0.98
 84-94,0,1.06,1.06,1.06,1.06,6.37,48.85,0,2.12,1.06,0,1.06,1.06,1.06,0,1.06,0,0,6.37,0,5.31,8.5,0,0,1.06,0,2.12,1.06,14.87,0,3.19,0,0,0,0,0
 96-106,0,1.09,2.19,3.28,0,10.93,43.71,0,4.37,0,0,0,2.19,1.09,1.09,3.28,0,0,5.46,0,4.37,18.58,0,0,0,0,4.37,0,21.86,0,1.09,1.09,0,1.09,1.09,0
108-118,0,0,0.77,0.77,0,9.19,8.43,0,0.77,0,0,0,0.77,0,0.77,3.83,0,2.3,3.83,0.77,0.77,6.13,0.77,0.77,3.83,0,0.77,0,9.96,0,0.77,0,0.77,2.3,0,0
120,0,0,1.96,0,1.96,3.92,23.52,0,0,3.92,0,0,0,0,0,1.96,0,1.96,1.96,1.96,1.96,11.76,0,0,7.84,0,0,5.88,11.76,0,0,0,0,1.96,0,1.96
