stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,12.59,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,3.15,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,10,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,6,0,3,0,1,0,1,0,61,0,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,8.21,0,0,0,5.75,0,0,0,0,0.82,0,0,0,1.64,4.93,0,0,0.82,450.65,0,27.91,0.82,0,0,0,0.82,0.82,0,118.2,0,0,0,0,0
 36-46,0,0.81,0,2.42,0.81,0,29,0,0,2.42,5.64,0,0,0,0,0,0,0,0,0,4.83,0,0,0,1181.11,0.81,18.53,0,0,0,0,0,0,0,203.03,0,0,3.22,0,0
 48-58,0,1.72,0,3.44,0,0,159.52,0.57,0,0,21.8,0,0,0.57,0.57,0.57,0.57,0,0.57,0.57,16.64,0,0,2.3,1580.26,0.57,16.07,0.57,0,2.87,0,0,0.57,0,239.28,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,318.01,0,0,0.98,34.35,0,0,0.98,0,1.96,0,0,0,0,17.67,0,0,0,1632.27,0.98,7.85,1.96,0,0,0,0,1.96,0,193.36,0,0,0,0,0
 72-82,0,0,0,6.87,2.94,0,351.43,0.98,0,1.96,55.95,2.94,0,0,0,0,0,0,0,0,34.36,0,0,0,1228.06,0,11.78,2.94,0,1.96,0,0,0.98,0,73.62,0.98,0,0.98,0,0
 84-94,0,0,0,10.62,1.06,0,201.79,0,0,1.06,48.85,3.19,0,0,2.12,2.12,0,0,0,0,20.18,0,1.06,2.12,565,0,6.37,3.19,0,2.12,0,0,0,0,59.47,0,3.19,1.06,1.06,0
 96-106,0,3.28,0,3.28,4.37,0,162.83,0,0,2.19,37.16,1.09,0,0,0,5.46,0,0,2.19,0,17.49,1.09,1.09,0,419.65,0,8.74,4.37,0,3.28,0,0,0,0,21.86,1.09,1.09,0,1.09,1.09
108-118,0,1.53,0,6.89,0.77,0.77,120.26,0,0.77,0,25.28,0,0,0,0.77,1.53,0.77,0,0.77,0,7.66,0,0,0.77,432,0,5.36,0,0,0.77,0,0,0.77,0,13.02,2.3,0,0.77,0,0.77
120,0,1.96,0,9.8,1.96,0,123.47,0,1.96,0,31.36,3.92,0,0,1.96,1.96,0,1.96,0,0,9.8,0,0,1.96,487.99,0,3.92,3.92,0,5.88,1.96,0,0,1.96,13.72,1.96,0,0,0,0
