stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,276.93,9.44,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,69,2,0,572,0,0,0,3,1,0,0,0,1,0,0,0,5,0,0,0,228,2,0,1,1,0,1,6,1,0,13,21,0,0,0,0,0
 24-34,0,0,0,0,9.03,0,0,707.58,0,0.82,0.82,4.1,0,0,0,0,0,0,0,0.82,4.93,0,0,0,136.26,0,0.82,21.34,0,0,2.46,0,0,0,4.93,16.42,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,989.36,0,0,0,1.61,0,0,0.81,0.81,0,0,0,0,15.31,0,0,0,68.48,0.81,0.81,20.14,0,0,0.81,0,0,0.81,0,9.67,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,1046.05,0,0,0,7.46,0,0,0,0,0,0,0,0,43.61,0.57,0,1.72,70.58,0,0,25.25,0,0,0.57,0,0,0,0,20.08,0,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,0,1159.18,0,0.98,0,29.45,0,0,0,0,0,0,0,0,55.95,0,0,0,46.13,0,0.98,10.8,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,5.89,1.96,0,964.97,0,1.96,1.96,44.17,0.98,0,0,0,0,0,0,0,95.22,0,1.96,0,69.7,1.96,1.96,21.6,0,0,0.98,0,0,0,0,1.96,0,0,1.96,0.98,0.98
 84-94,0,0,1.06,0,6.37,1.06,0,670.15,0,0,2.12,30.8,0,0,0,0,0,2.12,0,0,67.97,0,2.12,0,50.98,0,1.06,26.55,0,0,1.06,0,1.06,0,0,7.43,0,2.12,2.12,1.06,0
 96-106,0,0,0,0,12.02,1.09,0,513.64,0,2.19,0,39.34,1.09,0,1.09,2.19,0,0,0,1.09,69.94,0,0,2.19,51.36,0,2.19,42.62,0,1.09,3.28,0,0,0,0,1.09,1.09,2.19,3.28,0,1.09
108-118,0,0,0,0,11.49,0,1.53,468,0,0.77,0,26.04,0,0,0,0,0,0,0,0.77,68.94,0,0,0,46.72,0,0.77,44.43,0,0,2.3,0,0.77,0,0,1.53,0,0,0.77,0,0
120,0,0,0,0,5.88,0,0,378.24,1.96,0,0,25.48,0,0,0,1.96,0,0,1.96,1.96,50.95,0,0,0,54.87,0,0,19.6,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0
