stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,1,9,0,0,0,4,2,0,2,2
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,4.03,0,0,0,0.81
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,3.44,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,0,0.98,0,0.98,0.98,6.87,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,5.46,3.28,0,0,1.09,0,0,1.09,1.09,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0.77,0,1.53,3.83,0.77,0,0,1.53,4.6,0.77,3.06,0,1.53,0,2.3,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
