stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1293.35,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,12.26,0,0,36.78,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,13.14,0,49.95,0,0,0,76.23,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,599.35,34.17,0,0,254.99,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,15.73,0,0,0,66.09,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,657.72,28.32,0,0,286.37,0,3.15,3.15,53.5,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,45,12,0,17,0,0,0,3,3,1,2,0,1,0,0,0,21,0,0,24,210,7,0,4,8,0,4,51,2,1,34,79,0,0,1,0,1
 24-34,0,0,0,0,6.57,4.1,0,31.19,0,1.64,1.64,7.39,0.82,0,1.64,0.82,0.82,0,0.82,0,36.94,0,0,13.13,228.2,0.82,0,4.1,0,0,4.1,0,0,0.82,9.03,65.67,0,0,4.1,0,0
 36-46,0,0,0,0,2.42,0.81,0,32.23,0,0,0.81,12.09,0,0,0.81,0,0,1.61,0,0,34.64,0.81,0,10.47,171.61,0.81,0,3.22,0,0,2.42,0,0,0,0,54.79,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,1.72,0,71.73,0,0,5.74,21.23,0.57,0,2.3,0,0,0.57,0,0,61.4,0.57,3.44,12.05,159.52,0,0,1.72,0,0,2.3,0,0,0,0,47.63,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,0,71.65,0,0.98,2.94,25.52,0,0,1.96,0,0,2.94,0,0,62.82,0,1.96,6.87,67.73,0.98,0,2.94,0,0,0.98,0,0.98,0,0,13.74,0,0,4.91,0,0
 72-82,0,0,0,0,0.98,0,0,61.84,0,0,4.91,25.52,0,0,2.94,0.98,0,0.98,0.98,0,93.26,1.96,5.89,10.8,76.57,0,0,0.98,0,0,0.98,0,0,0,0,4.91,0.98,0,2.94,0.98,0.98
 84-94,0,0,1.06,0,2.12,0,1.06,37.17,1.06,1.06,0,13.81,1.06,0,3.19,1.06,0,1.06,0,1.06,45.67,0,3.19,1.06,40.36,1.06,0,2.12,0,1.06,6.37,0,0,0,0,8.5,0,1.06,4.25,0,0
 96-106,0,0,0,0,3.28,0,0,30.6,0,1.09,2.19,8.74,5.46,0,3.28,3.28,0,0,1.09,2.19,32.79,0,2.19,5.46,31.69,0,1.09,1.09,0,0,1.09,0,0,0,0,2.19,0,0,4.37,0,0
108-118,0,0,0.77,0,5.36,2.3,1.53,10.72,0,0.77,0.77,8.43,0.77,0,1.53,3.06,0,1.53,0,0.77,17.62,0.77,0,5.36,29.11,0.77,0,1.53,0,0,0.77,0,0,0,0,0.77,0,0,1.53,0,1.53
120,0,0,0,0,3.92,1.96,0,13.72,0,0,3.92,3.92,3.92,0,0,3.92,0,0,0,0,5.88,0,0,5.88,13.72,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,3.92,0,0
