stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,4.83,0,0,0,1.61,0,0,0
 48-58,0.57,0,0,0,0,0,0.57,0,0,6.31,1.15,0,5.16,0,0,0,7.46,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,23.56,0.98,0,5.89,0,0,0,6.87,0,0,0
 72-82,0.98,0,0,2.94,0,0,0,0,0,31.41,6.87,0.98,18.65,0,0.98,0,5.89,0,0.98,0
 84-94,0,0,0,0,2.12,0,1.06,0,1.06,45.67,5.31,0,15.93,1.06,1.06,0,3.19,0,0,1.06
 96-106,1.09,0,0,3.28,1.09,1.09,1.09,0,0,41.53,6.56,0,12.02,0,0,0,3.28,1.09,0,0
108-118,0,0.77,0.77,3.06,3.06,2.3,0.77,0,0,64.34,4.6,0,29.87,0,0,0,2.3,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,23.52,1.96,0,31.36,0,0,0,3.92,0,0,0
