stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,3,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0
 48-58,0,0,0.57,0,0,0.57,0.57,0,0.57,0.57,0,0,1.15,0
 60-70,0,0,3.93,0,0,0,0.98,0.98,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77
