stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,periderm,taste,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,6.45,3.22,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,4.91,5.89,0,0
 72-82,0,0,0,0,0,0,0.98,1.96,0.98,0.98,1.96,0,4.91,2.94,0.98,0
 84-94,0,0,1.06,0,0,0,0,4.25,1.06,0,0,0,6.37,10.62,0,0
 96-106,0,0,4.37,0,2.19,2.19,4.37,4.37,2.19,0,2.19,0,2.19,43.71,2.19,1.09
108-118,0,0.77,3.06,0.77,0,0.77,1.53,6.89,0,0,2.3,0,4.6,21.45,0,0
120,0,0,1.96,0,0,0,1.96,1.96,1.96,0,0,1.96,3.92,48.99,0,0
