stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,120,0,0,0,0,0,0,3,1,4,30,51,0,0,0,0
 24-34,0,0.82,0,10.67,0,9.85,0,33.66,0,0,0,0.82,0,0,0,1.64,0,2.46,2082.51,1.64,0.82,0,0,0,0,0,1.64,1.64,11.49,637.81,0,3.28,0,0
 36-46,0,3.22,0,25.78,0,0.81,0,84.6,0,0,0,0.81,0,0,0.81,5.64,0.81,0.81,3258.13,2.42,1.61,0.81,0,0,2.42,0,0.81,0,0,1282.63,0,0.81,0,0
 48-58,0,1.72,0.57,53.94,0.57,0.57,0,144.6,0,0.57,0.57,0,0,0,0,3.44,0.57,1.72,1654.85,0,0,0,0,0,2.3,0,1.15,0,0,780.95,0.57,1.72,0,1.72
 60-70,0,0.98,0,28.46,0,0.98,0.98,95.21,0,0.98,0,0,0,0,0,2.94,0,0.98,807.79,0,0,0.98,0,0,0.98,0,0,0.98,0,314.09,0,0,0,1.96
 72-82,0,4.91,0,42.21,0.98,0,0,77.55,0,0,0,0,0.98,0,0,7.85,0,1.96,667.53,0,0,0,0,0,0,0,0,0,0,126.63,0,0,0,0
 84-94,0,4.25,0,42.48,1.06,0,0,35.05,0,0,0,0,1.06,0,0,9.56,0,4.25,296.31,0,0,0,0,1.06,1.06,0,0,0,0,80.71,0,0,1.06,0
 96-106,0,4.37,0,29.51,2.19,0,0,41.53,0,0,2.19,0,0,0,0,1.09,0,3.28,244.8,0,0,1.09,0,0,2.19,0,0,0,0,29.51,0,0,2.19,1.09
108-118,0,2.3,0.77,15.32,0.77,0,0,35.23,0.77,0,0,0,0.77,0,0,6.13,0,1.53,294.13,0,0.77,0,0,0,0.77,0,0,0,0,20.68,0,0.77,0,0
120,0,7.84,0,25.48,0,0,0,35.28,0,0,0,0,0,1.96,0,5.88,0,3.92,297.89,1.96,0,1.96,0,0,0,0,0,0,0,7.84,0,1.96,0,0
