stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,15.77,0,0,23.66,0,0,0,0,0,693.98,0,0,0,0,0,0,0,0,0,0,0,107.78,7.89,0,0,47.32,0,2.63,0,0,0,0,0,0,0
 10-12,0,31.47,0,75.53,0,15.73,59.79,0,0,0,0,0,569.6,0,0,0,0,0,0,0,0,0,0,0,1192.7,47.2,0,0,383.93,9.44,3.15,6.29,66.09,0,12.59,3.15,0,0
 14-21,1,1,2,14,257,64,84,0,2,0,27,9,247,5,5,12,0,0,3,3,92,1,0,86,1236,51,6,16,40,49,1,175,12,31,243,390,10,3
 24-34,0,0,1.64,4.1,96.04,9.85,111.64,0.82,9.03,2.46,33.66,4.1,77.16,4.1,4.93,9.85,3.28,3.28,9.85,7.39,143.65,2.46,0,76.34,1420.9,16.42,13.95,13.95,0,68.13,0,0,4.93,9.85,42.68,328.34,55.82,9.03
 36-46,0,0,0.81,0,4.03,0.81,34.64,0,1.61,0.81,2.42,0,24.98,1.61,1.61,1.61,0,0,0.81,0,20.95,0.81,0.81,11.28,231.23,0.81,3.22,3.22,0,16.92,0,0,0.81,0,0,42.7,4.83,2.42
 48-58,0,0,0,0,0,0.57,5.74,0,0,0.57,2.3,0,39.59,0.57,0,0,0.57,0,0,0,4.02,0,0.57,0,21.8,0,0,0,0,2.87,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,9.82,0,0,0,0.98,0,0,0,0.98,0,1.96,0,9.82,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0.98,0,0.98,0,0.98,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,1.53,0,0.77,0,0.77,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
