stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48,0,0,0,10.67,0,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0,0,0,0.81,0,0,132.94,0.81,0,0,17.72,0,0,0,0
 48-58,0,1.15,0,44.18,0.57,0,1.72,0,0,0,0.57,0,0,3.44,0.57,0,212.88,0,0,0,32.13,0,0,0,0
 60-70,0,0,0,194.34,0,0,4.91,0,0.98,0,0,0.98,0,1.96,0,0,261.08,0,0,0.98,21.59,0,0,0,0
 72-82,0,0.98,0,156.08,0,0.98,11.78,0,0,0,0,0,0,2.94,0,0.98,204.19,0,0,0.98,7.85,0.98,0,0,0.98
 84-94,0,1.06,0,106.2,0,0,4.25,0,0,0,0,0,0,1.06,0,0,100.89,0,0,0,10.62,0,1.06,1.06,0
 96-106,0,1.09,1.09,52.46,0,0,2.19,1.09,0,0,0,0,1.09,1.09,0,0,65.57,0,0,1.09,2.19,0,0,0,0
108-118,0,2.3,0,29.11,0,0,2.3,0,0,0,0,0,0,0,0,0,55.92,0,0,0,1.53,0,0,0,0
120,0,1.96,0,17.64,0,0,0,0,0,0,0,0,0,1.96,0,0,68.59,0,0,0,3.92,0,0,0,0
