stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,3,1,0,0,0,2,0,0,2,1,0,0,0,0,0
 24-34,0,0,0,4.1,2.46,0,0,1.64,0,0,0,0,4.1,0,0,0,0,0,0,60.74,0,3.28,0,0,0.82,18.06,0,0,0,0,0.82,0,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,1.61,0,0,0,0,5.64,0,0,0,0.81,0,0,43.51,0.81,1.61,0,0,0,6.45,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,5.16,0,0.57,0,1.15,5.16,0,0,0,0,0,0,48.77,0,0.57,0,0,0,15.49,0,0,0,0,0,0.57,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,3.93,0.98,0,11.78,0,0,0,0.98,2.94,0,0,0,0,0.98,0,78.52,0,2.94,0,0,0.98,16.69,0,0.98,0,0,2.94,0,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,0,8.83,5.89,0,53.01,0,0.98,0,11.78,2.94,0,0.98,0.98,0.98,0,0.98,184.55,0,28.47,1.96,0,5.89,105.04,0,1.96,0.98,0,5.89,1.96,0,0,7.85,0.98,1.96,5.89,0.98,4.91
 84-94,0,0,0,0,15.93,19.12,1.06,43.54,0,3.19,2.12,16.99,6.37,1.06,1.06,4.25,2.12,3.19,1.06,528.89,1.06,29.74,0,4.25,9.56,99.83,0,0,1.06,0,20.18,2.12,1.06,0,4.25,0,1.06,5.31,2.12,2.12
 96-106,0,0,3.28,0,65.57,45.9,8.74,161.74,5.46,10.93,12.02,62.29,21.86,0,1.09,9.84,10.93,5.46,6.56,834.93,1.09,130.05,4.37,6.56,13.11,416.37,6.56,13.11,16.39,4.37,113.66,1.09,1.09,0,21.86,7.65,4.37,25.14,6.56,4.37
108-118,0,0,0.77,0,67.4,27.57,11.49,137.11,4.6,9.96,10.72,61.28,19.92,0,3.06,13.02,6.89,9.19,4.6,1562.56,1.53,117.19,3.06,5.36,16.85,438.13,4.6,4.6,9.19,1.53,54.38,2.3,3.83,0,7.66,4.6,3.83,15.32,5.36,11.49
120,0,0,1.96,0,39.2,21.56,13.72,60.75,0,17.64,3.92,33.32,7.84,0,1.96,9.8,3.92,1.96,3.92,874.06,1.96,54.87,3.92,1.96,11.76,301.81,3.92,3.92,9.8,1.96,33.32,1.96,0,0,5.88,0,0,11.76,5.88,0
