stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,5.26,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,89.38,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,37.76,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,3,5,0,1,0,0,0,0,0,0,0,0,0,2,4,0,3,67,1,0,1,3,0,11,1,0,13,31,0,0,0,0
 24-34,0,0,0,0,3.28,0,10.67,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,13.13,0,3.28,115.74,0.82,1.64,2.46,0,4.93,0,0,0,6.57,28.73,0,4.1,0,0
 36-46,0,0,0.81,0,1.61,0,15.31,0,0,0.81,2.42,0,0,0.81,0,0,0,0,0.81,11.28,0.81,2.42,78.96,0,1.61,1.61,0,5.64,0,0,0,0,13.7,0,1.61,0,1.61
 48-58,0,0,0,0,2.87,0,22.95,0,0,1.72,10.33,0,0,0.57,0,0.57,0,0,0.57,11.48,1.15,4.59,65.99,0,0.57,0.57,0,1.15,0,0,0.57,0,14.92,0,2.87,0.57,0.57
 60-70,0,0,0,0,0.98,0,19.63,0.98,0,0.98,8.83,0.98,0,0.98,0.98,0,0,0,0,13.74,0,3.93,47.11,0,2.94,0.98,0,1.96,0,0,0,0,7.85,0.98,0.98,0,0
 72-82,0,0,0,0,2.94,0,24.54,0,0,0,11.78,0,0,0,1.96,0,0,0,0.98,31.41,0,2.94,62.83,1.96,0.98,1.96,0,4.91,0,0,0,0,3.93,0.98,2.94,0.98,0
 84-94,0,0,0,0,2.12,0,16.99,0,0,2.12,9.56,1.06,1.06,0,0,0,0,0,0,18.05,1.06,1.06,24.43,1.06,2.12,1.06,0,8.5,0,1.06,0,0,3.19,0,1.06,0,1.06
 96-106,0,0,0,0,1.09,0,5.46,0,1.09,1.09,9.84,1.09,0,0,0,0,0,0,1.09,17.49,1.09,1.09,17.49,0,2.19,0,0,3.28,0,0,0,0,3.28,0,3.28,1.09,0
108-118,0,0,0,0,4.6,0.77,12.26,0,0,0.77,4.6,0,0,0,0,0,0.77,0.77,0,11.49,0.77,3.83,22.21,0.77,0.77,0.77,0,3.06,0,0,0,0,1.53,0,0.77,0,1.53
120,0,0,0,0,1.96,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0,9.8,0,0,7.84,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,0,1.96
